rollout_id,theta_test_id,u_req_true,posterior_mean_U,u_ctrl_final
0,15,0.2,0.050302571992381896,0.45
1,15,0.2,0.4569443487469447,0.9
2,2,0.3,0.26631062077711176,0.7
3,1,0.1,0.5999999999991373,1.0
4,2,0.3,0.23078928694166656,0.7
5,8,0.1,0.12141731852663579,0.9
6,12,0.6,0.05066665164215316,0.45
7,12,0.6,0.22008339216147468,0.9
8,12,0.6,0.17824103626226998,0.7
9,15,0.2,0.24571971360926415,0.7
10,8,0.1,0.32752922307556387,1.0
11,4,0.4,0.3943697973511318,0.9
12,14,0.3,0.11064252741024558,0.6
13,10,0.15,0.18365319035908428,0.7
14,8,0.1,0.26281778777766446,0.7
15,15,0.2,0.2034117740570033,1.0
16,0,0.1,0.2799464348594378,0.7
17,11,0.1,0.35527691423496344,1.0
18,13,0.45,0.36257490803049797,0.8
19,12,0.6,0.08492030136729836,0.6
20,7,0.6,0.05948400749926804,0.5
21,2,0.3,0.05001506472320709,0.45
22,0,0.1,0.18097943800038635,0.7
23,2,0.3,0.6,1.0
24,8,0.1,0.14597624136847043,0.8
25,2,0.3,0.6000000000000001,1.0
26,6,0.6,0.2602951234968245,1.0
27,7,0.6,0.6000000000000001,1.0
28,3,0.5,0.25013541697003117,0.7
29,10,0.15,0.2951174018478585,0.7
30,10,0.15,0.5978890499865193,1.0
31,6,0.6,0.09456768360557954,0.6
32,2,0.3,0.28499704560931827,0.9
33,11,0.1,0.29529994419423816,0.7
34,12,0.6,0.24487108368236848,1.0
35,12,0.6,0.3341223204756884,0.8
36,5,0.25,0.35,0.8
37,13,0.45,0.1338971462699959,0.7
38,15,0.2,0.08629766594633198,0.6
39,14,0.3,0.23893817516197052,0.8
40,6,0.6,0.2693975393769009,1.0
41,14,0.3,0.05003966473068912,0.45
42,12,0.6,0.11460017769435929,0.6
43,13,0.45,0.17842796068511196,0.8
44,5,0.25,0.3,0.7
45,6,0.6,0.08800191858145945,0.8
46,12,0.6,0.3258249402230915,1.0
47,12,0.6,0.3659776046037453,0.9
48,0,0.1,0.24052828935517645,0.9
49,12,0.6,0.3210997193463723,1.0
50,15,0.2,0.17744737241686787,0.7
51,2,0.3,0.4569443487469447,0.9
52,3,0.5,0.3463257062413587,1.0
53,9,0.35,0.4499463884227825,0.9
54,10,0.15,0.25568703088472355,1.0
55,5,0.25,0.6,1.0
56,4,0.4,0.3281465352963864,0.8
57,1,0.1,0.27896531950955655,0.7
58,10,0.15,0.34754815359622254,1.0
59,5,0.25,0.1744655382801159,0.8
60,8,0.1,0.3609960177504603,1.0
61,3,0.5,0.056092832586426944,0.45
62,8,0.1,0.2767956823387392,0.7
63,12,0.6,0.176621122647046,0.8
64,3,0.5,0.32181235939017483,0.8
65,6,0.6,0.2949242161932435,0.9
66,10,0.15,0.3000000471091981,0.7
67,11,0.1,0.3082232473453993,0.8
68,1,0.1,0.28311645526024837,0.9
69,4,0.4,0.050000164050652815,0.45
70,9,0.35,0.07031637926775733,0.6
71,12,0.6,0.28451976124708617,0.7
72,9,0.35,0.24388192383450213,0.9
73,6,0.6,0.2654933076489546,0.7
74,0,0.1,0.18644281351481776,0.7
75,12,0.6,0.3006943708924201,1.0
76,15,0.2,0.16878432745302718,0.7
77,11,0.1,0.6,1.0
78,1,0.1,0.16612552996680527,0.7
79,8,0.1,0.4454896027432246,0.9
80,6,0.6,0.21996041636626024,0.7
81,0,0.1,0.08559045942233337,0.6
82,1,0.1,0.24347965291614118,0.7
83,5,0.25,0.05330048164363804,0.5
84,7,0.6,0.4175820978635224,0.9
85,1,0.1,0.15695204680078173,0.9
86,13,0.45,0.25265366341353446,0.7
87,0,0.1,0.22047763940851078,0.8
88,15,0.2,0.3,0.7
89,12,0.6,0.3535203785607639,1.0
90,15,0.2,0.2233125771334029,0.7
91,8,0.1,0.09072455566320746,0.6
92,14,0.3,0.2897603639504558,0.7
93,3,0.5,0.599999993043176,1.0
94,6,0.6,0.3,0.7
95,13,0.45,0.3214263016621696,1.0
96,9,0.35,0.06159654027522703,0.6
97,14,0.3,0.4470747566247424,0.9
98,3,0.5,0.3627170832745609,1.0
99,7,0.6,0.2926070568797843,0.7
100,10,0.15,0.2260120872308982,0.9
101,4,0.4,0.33324716322468007,0.9
102,8,0.1,0.10019092414815528,0.5
103,6,0.6,0.35543740150485037,1.0
104,7,0.6,0.21026401861916785,0.8
105,7,0.6,0.12217736138960988,0.7
106,5,0.25,0.27515815056157356,0.7
107,3,0.5,0.40537120298434065,1.0
108,7,0.6,0.17635328939253553,0.7
109,11,0.1,0.32215316754420503,1.0
110,13,0.45,0.11164986467206722,0.8
111,0,0.1,0.5999624642853151,1.0
112,15,0.2,0.0508870922230691,0.45
113,0,0.1,0.13543284315812323,0.7
114,0,0.1,0.20473256879723545,0.9
115,9,0.35,0.188761685462723,0.8
116,11,0.1,0.3482788259822607,0.8
117,2,0.3,0.22503822168246052,0.8
118,5,0.25,0.12652898243595334,0.7
119,6,0.6,0.3613179409493515,1.0
120,14,0.3,0.307954798967055,1.0
121,9,0.35,0.050072509300929414,0.45
122,15,0.2,0.2391453707053255,0.7
123,15,0.2,0.06330744116942971,0.6
124,1,0.1,0.27748392026889107,0.9
125,11,0.1,0.24832519192079394,0.8
126,7,0.6,0.40104218809943215,0.9
127,9,0.35,0.24640955174365536,0.9
128,15,0.2,0.21307603239326312,0.8
129,7,0.6,0.3503452663028133,1.0
130,11,0.1,0.5991994965997042,1.0
131,12,0.6,0.06765165742489168,0.6
132,2,0.3,0.6000000000000002,1.0
133,13,0.45,0.34281372740243843,1.0
134,12,0.6,0.2743863186357216,0.7
135,15,0.2,0.35,0.8
136,0,0.1,0.2693377397602197,0.7
137,6,0.6,0.2520764729240961,0.7
138,3,0.5,0.5999999999992319,1.0
139,12,0.6,0.05035907353846776,0.45
140,0,0.1,0.3665913090131314,0.8
141,2,0.3,0.243610808272399,1.0
142,14,0.3,0.3335079548422263,1.0
143,13,0.45,0.3,0.7
144,3,0.5,0.32623376927284714,0.9
145,5,0.25,0.20487023785486844,0.8
146,14,0.3,0.05119315385164178,0.45
147,0,0.1,0.3258244228728251,1.0
148,3,0.5,0.33426250478573055,1.0
149,14,0.3,0.41994778162682156,1.0
150,6,0.6,0.4499025507869674,0.9
151,10,0.15,0.5695517675178895,1.0
152,10,0.15,0.28341258381934714,0.7
153,14,0.3,0.35,0.8
154,12,0.6,0.5999999999999999,1.0
155,9,0.35,0.06488280882449007,0.6
156,5,0.25,0.3281958941725537,0.8
157,0,0.1,0.15540924510711346,0.9
158,14,0.3,0.3,0.7
159,6,0.6,0.158266673203942,0.8
160,13,0.45,0.3315923636081203,0.8
161,5,0.25,0.28983269308233595,0.7
162,13,0.45,0.2756346034588972,0.7
163,6,0.6,0.35126152669590455,1.0
164,2,0.3,0.06456885426484385,0.6
165,13,0.45,0.24467724773021565,0.8
166,11,0.1,0.09326035987968004,0.8
167,0,0.1,0.34165691292816136,0.8
168,15,0.2,0.2672485392291404,0.9
169,4,0.4,0.326790885645477,1.0
170,0,0.1,0.25915402105604285,0.9
171,7,0.6,0.3100380322832903,0.9
172,1,0.1,0.3113090016603024,0.8
173,5,0.25,0.32951586167519353,1.0
174,14,0.3,0.30899503161192976,1.0
175,10,0.15,0.32814952643150275,1.0
176,7,0.6,0.1707731414129256,0.7
177,12,0.6,0.20183188254764878,0.8
178,14,0.3,0.4487863368519306,0.9
179,15,0.2,0.40537120298434065,1.0
180,6,0.6,0.5957401158368689,1.0
181,0,0.1,0.19122693303016391,0.8
182,15,0.2,0.18858909038374858,0.8
183,3,0.5,0.34600155587838066,1.0
184,9,0.35,0.08440958711212283,0.8
185,1,0.1,0.25926158803233446,0.9
186,14,0.3,0.34993706193228774,0.8
187,5,0.25,0.24339185589902268,0.7
188,1,0.1,0.23543985059345318,0.7
189,10,0.15,0.3305933561416965,0.9
190,13,0.45,0.3497359515801046,1.0
191,4,0.4,0.05014749491376801,0.45
192,4,0.4,0.239158222559926,0.9
193,2,0.3,0.20319332308056454,0.9
194,5,0.25,0.24498862394426713,0.8
195,13,0.45,0.31888956044847805,1.0
196,9,0.35,0.358204029099533,0.9
197,13,0.45,0.2841009985194719,0.9
198,15,0.2,0.05366774220392628,0.45
199,2,0.3,0.3013524851454355,0.8
200,13,0.45,0.26282852673335316,0.7
201,13,0.45,0.5999999999999999,1.0
202,11,0.1,0.26136779050806713,0.8
203,1,0.1,0.11672516857784089,0.8
204,12,0.6,0.18005778925790145,0.7
