rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
0,15,19 23,2.3591555 3.526414,1.0,0.9,0.2,0.08464733986221007,0.7,True,True,True,False
1,15,16 22,1.6142734 1.1767174,1.0,0.7,0.2,0.18221748002980018,0.49999999999999994,True,True,True,False
2,2,8 6,3.5170544 2.0649449,1.0,0.7,0.3,0.2569811829169964,0.39999999999999997,True,True,True,False
3,1,26 29,1.607369 7.5621211,1.0,0.8,0.1,0.21766226936347416,0.7000000000000001,True,True,True,False
4,2,16 17,1.7930867 2.087905,1.0,0.7,0.3,0.1876857442655629,0.39999999999999997,True,True,True,False
5,8,28 11,6.5698423 1.6527219,1.0,0.5,0.1,0.09999999999999923,0.4,True,True,True,False
6,12,9 0,2.4023617 1.9467683,1.0,0.7,0.6,0.09189846254478666,0.09999999999999998,True,True,True,False
7,12,17 8,1.3557371 3.6383395,1.0,0.9,0.6,0.37844381001525745,0.30000000000000004,True,True,True,False
8,12,7 8,1.3984083 3.6383395,1.0,0.7,0.6,0.277303155714546,0.09999999999999998,True,True,True,False
9,15,8 19,3.4582506 2.3591555,1.0,0.6,0.2,0.1453320301461734,0.39999999999999997,True,True,True,False
10,8,10 9,1.5395562 2.5264073,1.0,1.0,0.1,0.18433649620310713,0.9,True,False,False,False
11,4,9 16,2.1220022 2.5872732,1.0,0.8,0.4,0.40000111084258194,0.4,True,True,True,False
12,14,11 20,2.0031487 2.9552294,1.0,0.7,0.3,0.2531466679934823,0.39999999999999997,True,True,True,False
13,10,21 4,1.5515393 4.5589856,1.0,0.45,0.15,0.05000012734404982,0.30000000000000004,True,True,True,False
14,8,8 4,6.0455258 2.3744184,1.0,0.45,0.1,0.05000000000000003,0.35,True,True,True,False
15,15,17 27,1.0651719 1.3921057,1.0,1.0,0.2,0.3768425277173084,0.8,True,False,False,False
16,0,21 1,1.5312861 1.3582962,1.0,0.6,0.1,0.06978925259267084,0.5,True,True,True,False
17,11,27 20,1.2805677 3.2828164,1.0,0.8,0.1,0.3499467780978977,0.7000000000000001,True,True,True,False
18,13,16 19,2.8226581 2.2785523,1.0,0.9,0.45,0.4294168357533475,0.45,True,True,True,False
19,12,26 18,2.6656461 3.7103533,1.0,0.9,0.6,0.4499999999994143,0.30000000000000004,True,True,True,False
20,7,6 24,3.7803338 6.5902003,1.0,0.9,0.6,0.45000000000000007,0.30000000000000004,True,True,True,False
21,2,19 6,4.2859441 2.0649449,1.0,0.7,0.3,0.27007623933661074,0.39999999999999997,True,True,True,False
22,0,22 1,2.8792056 1.3582962,1.0,0.6,0.1,0.07665397806097335,0.5,True,True,True,False
23,2,21 8,1.8653763 3.5170544,1.0,0.7,0.3,0.2646312223532179,0.39999999999999997,True,True,True,False
24,8,17 12,1.4984699 1.4301331,1.0,1.0,0.1,0.3605518021784546,0.9,True,False,False,False
25,2,26 18,1.7270292 3.6835873,1.0,0.7,0.3,0.25820857826870575,0.39999999999999997,True,True,True,False
26,6,0 13,1.5863051 3.4235065,1.0,0.8,0.6,0.08494744777294447,0.20000000000000007,True,True,True,False
27,7,11 14,3.5173042 6.2470918,1.0,0.9,0.6,0.45,0.30000000000000004,True,True,True,False
28,3,8 6,6.6075995 3.3254262,1.0,0.9,0.5,0.44999999999999996,0.4,True,True,True,False
29,10,28 15,3.6905157 1.5351236,1.0,0.7,0.15,0.07673709845971691,0.5499999999999999,True,True,True,False
30,10,6 4,1.6612649 4.5589856,1.0,0.45,0.15,0.050000001232135244,0.30000000000000004,True,True,True,False
31,6,6 17,3.4916188 1.4644124,1.0,1.0,0.6,0.5999999994922399,0.4,True,False,False,False
32,2,20 5,1.5078788 1.2452981,1.0,1.0,0.3,0.3889066584203905,0.7,True,False,False,False
33,11,28 1,3.4607645 1.5287539,1.0,0.6,0.1,0.12187785583936248,0.5,True,True,True,False
34,12,17 8,1.3557371 3.6383395,1.0,0.9,0.6,0.37844381001525745,0.30000000000000004,True,True,True,False
35,12,3 6,3.7386699 3.7258479,1.0,0.9,0.6,0.450000000000055,0.30000000000000004,True,True,True,False
36,5,22 28,2.6839007 7.0097323,1.0,0.45,0.25,0.05000000459306418,0.2,True,True,True,False
37,13,16 26,2.8226581 2.3972714,1.0,0.9,0.45,0.45098111683350195,0.45,True,True,True,False
38,15,26 3,1.5399567 3.5284348,1.0,0.7,0.2,0.16222865156073812,0.49999999999999994,True,True,True,False
39,14,20 18,2.9552294 4.8607843,1.0,0.45,0.3,0.05575763798390143,0.15000000000000002,True,True,True,False
40,6,18 9,3.4650438 2.8606768,1.0,0.7,0.6,0.2516627339008815,0.09999999999999998,True,True,True,False
41,14,14 19,3.1452859 3.2144959,1.0,1.0,0.3,0.3223243403046944,0.7,True,False,False,False
42,12,11 1,3.3733606 3.7728147,1.0,1.0,0.6,0.5999999989908896,0.4,True,False,False,False
43,13,15 25,2.1765453 2.523836,1.0,0.8,0.45,0.2812349891755905,0.35000000000000003,True,True,True,False
44,5,25 24,1.7529302 2.4097074,1.0,0.9,0.25,0.42560202269055725,0.65,True,True,True,False
45,6,12 26,1.3840214 2.7352675,1.0,1.0,0.6,0.5999998091272842,0.4,True,False,False,False
46,12,4 25,2.410898 2.5168614,1.0,0.7,0.6,0.09862938725049827,0.09999999999999998,True,True,True,False
47,12,5 28,1.8658225 4.1209401,1.0,0.6,0.6,0.10666754873446843,0.0,True,True,True,False
48,0,14 3,3.9817625 3.1593312,1.0,0.7,0.1,0.2998342517719566,0.6,True,True,True,False
49,12,20 16,2.47707 3.3188633,1.0,1.0,0.6,0.5999998083520847,0.4,True,False,False,False
50,15,2 0,0.96958937 2.7559282,1.0,0.8,0.2,0.348777933578943,0.6000000000000001,True,True,True,False
51,2,16 22,1.7930867 2.0830124,1.0,0.7,0.3,0.24940525786624157,0.39999999999999997,True,True,True,False
52,3,25 29,2.0694435 5.097029,1.0,0.9,0.5,0.44977748558396324,0.4,True,True,True,False
53,9,15 20,1.9709299 1.9805283,1.0,1.0,0.35,0.23391015863627798,0.65,True,False,False,False
54,10,24 26,5.0313892 1.5146912,1.0,0.45,0.15,0.050000136069585296,0.30000000000000004,True,True,True,False
55,5,26 14,1.5859387 2.2397796,1.0,0.7,0.25,0.23779625275458294,0.44999999999999996,True,True,True,False
56,4,28 20,3.1386719 1.4020065,1.0,1.0,0.4,0.36233649320297445,0.6,True,False,False,False
57,1,3 21,4.4006335 1.6279917,1.0,0.7,0.1,0.1629607628298676,0.6,True,True,True,False
58,10,22 11,2.4626503 1.5547519,1.0,0.6,0.15,0.06651498706842238,0.44999999999999996,True,True,True,False
59,5,3 24,6.2258794 2.4097074,1.0,0.45,0.25,0.05000000001280797,0.2,True,True,True,False
60,8,15 14,1.4923602 2.5448569,1.0,0.9,0.1,0.3039877356447359,0.8,True,True,True,False
61,3,29 19,5.097029 4.6437555,1.0,0.8,0.5,0.34841165474870356,0.30000000000000004,True,True,True,False
62,8,11 24,1.6527219 2.6180009,1.0,0.7,0.1,0.14951732410115523,0.6,True,True,True,False
63,12,12 17,1.0955735 1.3557371,1.0,1.0,0.6,0.3556204714550464,0.4,True,False,False,False
64,3,26 3,2.8756792 6.5443346,1.0,0.9,0.5,0.4499995818144662,0.4,True,True,True,False
65,6,10 23,1.487048 3.6139497,1.0,0.7,0.6,0.13134433445697424,0.09999999999999998,True,True,True,False
66,10,20 25,1.6348733 1.844417,1.0,0.9,0.15,0.30722042934220656,0.75,True,True,True,False
67,11,17 16,1.0618296 1.3324662,1.0,0.6,0.1,0.1464605598339743,0.5,True,True,True,False
68,1,18 10,4.6104034 2.1475857,1.0,0.9,0.1,0.43679693712107837,0.8,True,True,True,False
69,4,29 21,2.4823531 2.5435389,1.0,0.8,0.4,0.4009498711561694,0.4,True,True,True,False
70,9,11 17,2.0699623 1.5069614,1.0,0.7,0.35,0.28645958507228153,0.35,True,True,True,False
71,12,18 15,3.7103533 2.1473652,1.0,0.8,0.6,0.1968018100812769,0.20000000000000007,True,True,True,False
72,9,9 26,2.6066654 1.9838814,1.0,0.8,0.35,0.34945280869985007,0.45000000000000007,True,True,True,False
