T,contrast,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
1,dad_minus_myopic,0.0009000000000000013,0.0,0.0011876870802532968,-0.0014,0.0033000000000000017,0.066,0.075,0.859,1000,10000
1,dad_minus_fixed,-0.0035999999999999986,0.0,0.001352356783126727,-0.0062,-0.0008999999999999992,0.11,0.074,0.816,1000,10000
1,dad_minus_random,-0.08510000000000002,-0.09999999999999998,0.005075800799258553,-0.09500000000000003,-0.0753,0.531,0.152,0.317,1000,10000
1,myopic_minus_fixed,-0.0045,0.0,0.0014254058305555588,-0.007300000000000001,-0.0017000000000000006,0.123,0.079,0.798,1000,10000
1,myopic_minus_random,-0.08600000000000003,-0.09999999999999998,0.005095091751868652,-0.09595125000000003,-0.07619875000000004,0.529,0.143,0.328,1000,10000
1,fixed_minus_random,-0.08150000000000003,-0.09999999999999998,0.004980216115044864,-0.09125125000000002,-0.07174875000000003,0.522,0.148,0.33,1000,10000
2,dad_minus_myopic,0.016450000000000024,0.0,0.007381150240909536,0.0021500000000000143,0.03080000000000001,0.296,0.477,0.227,1000,10000
2,dad_minus_fixed,0.01830000000000002,0.0,0.0076047973637002955,0.0036000000000000164,0.033250000000000016,0.333,0.498,0.169,1000,10000
2,dad_minus_random,-0.012649999999999991,0.0,0.006385393547053366,-0.025249999999999998,-0.00024999999999999334,0.369,0.357,0.274,1000,10000
2,myopic_minus_fixed,0.0018500000000000023,0.0,0.0025378175698851993,-0.003149999999999997,0.006900000000000001,0.157,0.158,0.685,1000,10000
2,myopic_minus_random,-0.029100000000000015,0.0,0.005712339347484604,-0.04015000000000001,-0.018048750000000027,0.394,0.253,0.353,1000,10000
2,fixed_minus_random,-0.030950000000000016,0.0,0.005699744256068389,-0.04225000000000002,-0.019900000000000015,0.402,0.246,0.352,1000,10000
