seed,epoch,validation_mean_u_ctrl,validation_safety_rate,admissible,rejection_reason
101,0,0.9583333333333334,1.0,True,
101,5,0.9500000000000001,1.0,True,
101,10,0.875,1.0,True,
101,15,0.875,1.0,True,
101,20,0.85,1.0,True,
101,25,0.875,1.0,True,
101,30,0.8666666666666667,1.0,True,
101,35,0.8333333333333334,1.0,True,
101,40,0.8333333333333334,1.0,True,
101,45,0.9333333333333335,1.0,True,
101,49,0.9333333333333335,1.0,True,
101,,0.8333333333333334,1.0,True,
202,0,0.9500000000000001,1.0,True,
202,5,0.9333333333333335,1.0,True,
202,10,0.9916666666666667,1.0,True,
202,15,0.9916666666666667,1.0,True,
202,20,0.9083333333333333,1.0,True,
202,25,0.8833333333333333,1.0,True,
202,30,0.8833333333333333,1.0,True,
202,35,0.8500000000000001,1.0,True,
202,40,0.8500000000000001,1.0,True,
202,45,0.8916666666666666,1.0,True,
202,49,0.8916666666666666,1.0,True,
202,,0.8500000000000001,1.0,True,
303,0,0.9916666666666667,1.0,True,
303,5,0.8916666666666666,1.0,True,
303,10,0.8583333333333334,1.0,True,
303,15,0.9166666666666666,1.0,True,
303,20,0.8916666666666666,1.0,True,
303,25,0.8916666666666666,1.0,True,
303,30,0.9083333333333332,1.0,True,
303,35,0.8916666666666666,1.0,True,
303,40,0.8916666666666666,1.0,True,
303,45,0.8916666666666666,1.0,True,
303,49,0.8916666666666666,1.0,True,
303,,0.8583333333333334,1.0,True,
