margin,alpha,DAD_cal_safety,DAD_val_safety,DAD_cal_n,DAD_val_n,Myopic_cal_safety,Myopic_val_safety,Myopic_cal_n,Myopic_val_n,Fixed_cal_safety,Fixed_val_safety,Fixed_cal_n,Fixed_val_n,Random_cal_safety,Random_val_safety,Random_cal_n,Random_val_n,pooled_cal_safety,pooled_val_safety,pooled_hides_failure,all_policies_cal_safe,all_policies_val_safe,validation_mean_u_ctrl,admissible,val_empirical_safety,val_onesided_wilson_lower
0.4,0.05,0.995125,0.99375,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,0.9805,0.991,2000,2000,0.9944285714285714,0.9951428571428571,False,False,False,0.7557642857142857,False,0.9951428571428571,0.9940760693665512
0.45,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.7896642857142858,True,1.0,0.9998067842356821
0.5,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.8501928571428572,True,1.0,0.9998067842356821
0.55,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.8803714285714286,True,1.0,0.9998067842356821
0.6,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.9214857142857142,True,1.0,0.9998067842356821
0.65,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.945557142857143,True,1.0,0.9998067842356821
0.7,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.9710857142857143,True,1.0,0.9998067842356821
0.75,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.9751285714285713,True,1.0,0.9998067842356821
0.8,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,0.9893571428571428,True,1.0,0.9998067842356821
0.9,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,1.0,True,1.0,0.9998067842356821
1.0,0.05,1.0,1.0,8000,8000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,2000,2000,1.0,1.0,False,True,True,1.0,True,1.0,0.9998067842356821
