rollout_id,theta_id,path_a_sequence,path_b_sequence,path_a_u_ctrl,path_b_u_ctrl,path_a_proxy_safe,identical,implementation
0,0,4 15,4 15,0.8,0.8,True,True,shared_run_keyed_history
1,1,13 21,13 21,0.45,0.45,True,True,shared_run_keyed_history
2,2,27 18,27 18,0.45,0.45,True,True,shared_run_keyed_history
3,3,9 20,9 20,0.7,0.7,True,True,shared_run_keyed_history
4,4,12 25,12 25,0.45,0.45,False,True,shared_run_keyed_history
5,5,10 6,10 6,0.8,0.8,True,True,shared_run_keyed_history
6,6,10 4,10 4,0.7,0.7,True,True,shared_run_keyed_history
7,7,4 24,4 24,0.8,0.8,True,True,shared_run_keyed_history
8,8,13 17,13 17,0.8,0.8,True,True,shared_run_keyed_history
9,9,23 15,23 15,0.8,0.8,True,True,shared_run_keyed_history
10,10,19 3,19 3,0.6,0.6,True,True,shared_run_keyed_history
11,11,21 14,21 14,0.7,0.7,True,True,shared_run_keyed_history
12,12,15 2,15 2,0.8,0.8,True,True,shared_run_keyed_history
13,13,14 12,14 12,1.0,1.0,True,True,shared_run_keyed_history
14,14,6 3,6 3,1.0,1.0,True,True,shared_run_keyed_history
15,15,26 14,26 14,0.7,0.7,True,True,shared_run_keyed_history
16,16,21 3,21 3,0.7,0.7,True,True,shared_run_keyed_history
17,17,28 17,28 17,0.8,0.8,True,True,shared_run_keyed_history
18,18,20 12,20 12,0.8,0.8,True,True,shared_run_keyed_history
19,19,19 20,19 20,0.8,0.8,True,True,shared_run_keyed_history
20,20,4 3,4 3,0.9,0.9,True,True,shared_run_keyed_history
21,21,4 5,4 5,0.7,0.7,True,True,shared_run_keyed_history
22,22,21 20,21 20,0.9,0.9,True,True,shared_run_keyed_history
23,23,3 20,3 20,0.7,0.7,True,True,shared_run_keyed_history
24,0,13 0,13 0,0.8,0.8,True,True,shared_run_keyed_history
25,1,15 18,15 18,0.45,0.45,True,True,shared_run_keyed_history
26,2,17 27,17 27,0.45,0.45,True,True,shared_run_keyed_history
27,3,2 8,2 8,0.7,0.7,True,True,shared_run_keyed_history
28,4,7 8,7 8,0.45,0.45,False,True,shared_run_keyed_history
29,5,3 1,3 1,0.8,0.8,True,True,shared_run_keyed_history
30,6,6 8,6 8,0.8,0.8,True,True,shared_run_keyed_history
31,7,4 0,4 0,1.0,1.0,True,True,shared_run_keyed_history
32,8,21 29,21 29,0.7,0.7,True,True,shared_run_keyed_history
33,9,23 3,23 3,0.9,0.9,True,True,shared_run_keyed_history
34,10,24 16,24 16,0.9,0.9,True,True,shared_run_keyed_history
35,11,14 0,14 0,0.8,0.8,True,True,shared_run_keyed_history
36,12,17 2,17 2,1.0,1.0,True,True,shared_run_keyed_history
37,13,3 15,3 15,0.7,0.7,True,True,shared_run_keyed_history
38,14,15 26,15 26,1.0,1.0,True,True,shared_run_keyed_history
39,15,9 0,9 0,1.0,1.0,True,True,shared_run_keyed_history
40,16,6 11,6 11,0.6,0.6,True,True,shared_run_keyed_history
41,17,16 18,16 18,0.8,0.8,True,True,shared_run_keyed_history
42,18,19 20,19 20,0.9,0.9,True,True,shared_run_keyed_history
43,19,14 23,14 23,0.5,0.5,True,True,shared_run_keyed_history
44,20,4 18,4 18,0.9,0.9,True,True,shared_run_keyed_history
45,21,8 21,8 21,0.9,0.9,True,True,shared_run_keyed_history
46,22,16 14,16 14,0.8,0.8,True,True,shared_run_keyed_history
47,23,2 18,2 18,1.0,1.0,True,True,shared_run_keyed_history
48,0,28 16,28 16,1.0,1.0,True,True,shared_run_keyed_history
49,1,6 16,6 16,0.6,0.6,True,True,shared_run_keyed_history
50,2,18 8,18 8,0.8,0.8,True,True,shared_run_keyed_history
51,3,19 5,19 5,0.7,0.7,True,True,shared_run_keyed_history
52,4,9 16,9 16,0.9,0.9,True,True,shared_run_keyed_history
53,5,8 13,8 13,0.8,0.8,True,True,shared_run_keyed_history
54,6,25 19,25 19,0.7,0.7,True,True,shared_run_keyed_history
55,7,24 6,24 6,0.45,0.45,True,True,shared_run_keyed_history
56,8,20 11,20 11,0.7,0.7,True,True,shared_run_keyed_history
57,9,29 9,29 9,0.7,0.7,True,True,shared_run_keyed_history
58,10,10 6,10 6,0.9,0.9,True,True,shared_run_keyed_history
59,11,4 8,4 8,0.9,0.9,True,True,shared_run_keyed_history
60,12,4 13,4 13,0.9,0.9,True,True,shared_run_keyed_history
61,13,1 17,1 17,0.8,0.8,True,True,shared_run_keyed_history
62,14,9 25,9 25,0.9,0.9,True,True,shared_run_keyed_history
63,15,3 7,3 7,1.0,1.0,True,True,shared_run_keyed_history
