rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
0,15,19 23,2.3334394 3.5396734,1.0,0.6,0.2,0.05624869396830665,0.39999999999999997,True,True,True,False
1,15,16 22,1.5390775 1.2981456,1.0,0.8,0.2,0.16298207923381766,0.6000000000000001,True,True,True,False
2,2,8 6,3.6818606 2.0818173,1.0,0.9,0.3,0.2748215308059738,0.6000000000000001,True,True,True,False
3,1,26 29,1.7391769 7.5995623,1.0,0.9,0.1,0.34999997990166903,0.8,True,True,True,False
4,2,16 17,1.7872509 1.9002034,1.0,0.8,0.3,0.25000165948787634,0.5,True,True,True,False
5,8,28 11,6.6344348 1.625957,1.0,0.6,0.1,0.05000000012649329,0.5,True,True,True,False
6,12,9 0,2.395508 1.9895669,1.0,0.6,0.6,0.052686218163548355,0.0,True,True,True,False
7,12,17 8,1.2113077 3.8652971,1.0,1.0,0.6,0.3823332066323657,0.4,True,False,False,False
8,12,7 8,1.4465835 3.7717081,1.0,1.0,0.6,0.3021991632677278,0.4,True,False,False,False
9,15,8 19,3.3235208 2.3501122,1.0,1.0,0.2,0.09990893283081911,0.8,True,False,False,False
10,8,10 9,1.3814151 2.5569611,1.0,0.8,0.1,0.11719733448087714,0.7000000000000001,True,True,True,False
11,4,9 16,2.1138163 2.4428923,1.0,1.0,0.4,0.4000000012810178,0.6,True,False,False,False
12,14,11 20,2.1433823 2.7302488,1.0,0.8,0.3,0.2504260993228868,0.5,True,True,True,False
13,10,21 4,1.4066395 4.5605508,1.0,0.6,0.15,0.050000053748197715,0.44999999999999996,True,True,True,False
14,8,8 4,6.0532978 2.3703606,1.0,0.6,0.1,0.05000000000000004,0.5,True,True,True,False
15,15,17 27,1.1358692 1.3665117,1.0,1.0,0.2,0.3778386466842843,0.8,True,False,False,False
16,0,21 1,1.3723963 1.5570598,1.0,0.7,0.1,0.10133073153172027,0.6,True,True,True,False
17,11,27 20,1.3570016 3.2236787,1.0,0.9,0.1,0.3483159890115131,0.8,True,True,True,False
18,13,16 19,2.7332384 2.2911458,1.0,1.0,0.45,0.4025538072441574,0.55,True,False,False,False
