rollout_id,theta_test_id,u_req_true,posterior_mean_U,u_ctrl_final
0,15,0.2,0.2999675967713006,0.9
1,15,0.2,0.5999826242698336,1.0
2,2,0.3,0.45,1.0
3,1,0.1,0.599999996149158,1.0
4,2,0.3,0.25000495604406847,0.8
5,8,0.1,0.37691776281987804,1.0
6,12,0.6,0.23317481908484597,0.8
7,12,0.6,0.05113572998550997,0.6
8,12,0.6,0.10006339452150469,0.7
9,15,0.2,0.2855806157376849,0.9
10,8,0.1,0.29904416898443087,0.9
11,4,0.4,0.24999400993496326,0.8
12,14,0.3,0.3,0.9
13,10,0.15,0.2367166646034074,0.9
14,8,0.1,0.3,0.9
15,15,0.2,0.35,0.9
16,0,0.1,0.6,1.0
17,11,0.1,0.3423562369779536,1.0
18,13,0.45,0.4,1.0
19,12,0.6,0.12336300391851693,0.7
20,7,0.6,0.06505144329406866,0.7
21,2,0.3,0.40000000000000074,1.0
22,0,0.1,0.45,1.0
23,2,0.3,0.6,1.0
24,8,0.1,0.28769809159202886,1.0
25,2,0.3,0.6,1.0
26,6,0.6,0.2999997729570162,0.9
27,7,0.6,0.6,1.0
28,3,0.5,0.29999999999998517,0.9
29,10,0.15,0.29999957493141816,0.9
30,10,0.15,0.4000000001782928,1.0
31,6,0.6,0.3499999999999979,0.9
32,2,0.3,0.050169720221583086,0.6
33,11,0.1,0.10006290968958985,0.7
34,12,0.6,0.10388247164706882,0.7
35,12,0.6,0.05000000000710993,0.6
36,5,0.25,0.05,0.6
37,13,0.45,0.09567779281731997,0.7
38,15,0.2,0.12429622605711434,0.8
39,14,0.3,0.2999999943560401,0.9
40,6,0.6,0.21840618432159054,0.9
41,14,0.3,0.2939918154308222,1.0
42,12,0.6,0.13230957196579857,0.7
43,13,0.45,0.2348609838555664,0.9
44,5,0.25,0.45,1.0
45,6,0.6,0.1407230863488532,0.7
46,12,0.6,0.29627923386844335,0.9
47,12,0.6,0.4499999999995264,1.0
48,0,0.1,0.2999999993390829,0.9
49,12,0.6,0.0992981224887268,0.7
50,15,0.2,0.1274211277513311,1.0
51,2,0.3,0.5812922771465978,1.0
52,3,0.5,0.3999999999610954,1.0
53,9,0.35,0.07500275542745949,0.8
54,10,0.15,0.051352467307352656,0.6
55,5,0.25,0.6,1.0
56,4,0.4,0.05,0.6
57,1,0.1,0.3,0.9
58,10,0.15,0.10000333699525372,0.7
59,5,0.25,0.05,0.6
60,8,0.1,0.05229487963050118,0.6
61,3,0.5,0.05077759640155947,0.6
62,8,0.1,0.29947062465122914,0.9
63,12,0.6,0.233051408677689,0.8
64,3,0.5,0.299999979808289,0.9
65,6,0.6,0.29999927504252666,0.9
66,10,0.15,0.2465154193360339,0.8
67,11,0.1,0.44999999999896456,1.0
68,1,0.1,0.30000000000000004,0.9
69,4,0.4,0.05000000000000021,0.6
70,9,0.35,0.05,0.6
71,12,0.6,0.2999999986520862,0.9
72,9,0.35,0.3042833865070923,0.9
73,6,0.6,0.2999999731953534,0.9
74,0,0.1,0.3501995854833827,0.9
75,12,0.6,0.3007282022110448,0.9
76,15,0.2,0.2854243671048443,0.9
77,11,0.1,0.45000034041377523,1.0
