rollout_id,theta_test_id,u_req_true,posterior_mean_U,u_ctrl_final
0,31,0.0,3.6207879833082414e-94,0.96
1,31,0.0,0.0,0.96
2,5,0.0,0.0,0.96
3,3,0.0,0.0,0.96
4,4,0.32,0.0,0.96
5,17,0.0,0.0,0.96
6,25,0.0,5.663998177390619e-95,0.96
7,25,0.0,0.011323872347454373,0.96
8,25,0.0,3.5316238016928565e-149,0.96
9,30,0.0,4.6568711897654e-27,0.96
10,17,0.0,0.0,0.96
11,8,0.0,0.0,0.96
12,28,0.0,0.0,0.96
13,20,0.0,1.4212707587763543e-56,0.96
14,16,0.0,1.592249514059833e-15,0.96
15,30,0.0,0.0,0.96
16,1,0.0,0.0,0.96
17,23,0.0,0.10817737407930673,1.2
18,27,0.0,0.0,0.96
19,25,0.0,0.0,0.96
20,15,0.0,6.2276897760945e-10,0.96
21,5,0.0,0.0,0.96
22,1,0.0,0.0,0.96
23,4,0.32,0.0,0.96
24,17,0.0,0.0,0.96
25,5,0.0,5.612983707945231e-132,0.96
26,12,0.0,0.0,0.96
27,14,0.0,6.421161298624197e-72,0.96
28,6,0.0,1.8034184828704982e-233,0.96
29,20,0.0,3.0401162721403766e-228,0.96
30,21,0.0,5.0285355438007005e-223,0.96
31,13,0.0,4.236009680515701e-37,0.96
32,5,0.0,4.480665992468753e-192,0.96
33,22,0.08,1.2792734003118824e-165,0.96
34,24,0.0,2.4384958894143444e-74,0.96
35,25,0.0,0.009031188057772309,0.96
36,11,0.0,1.4468271256462834e-08,0.96
37,27,0.0,0.0,0.96
38,31,0.0,0.0,0.96
39,28,0.0,1.6026499361130626e-193,0.96
40,13,0.0,2.473743587271011e-209,0.96
41,28,0.0,1.8306312973566587e-19,0.96
42,24,0.0,5.697419902015179e-54,0.96
43,27,0.0,4.8379915795928985e-106,0.96
44,10,0.0,0.39999999999999647,1.2
45,13,0.0,2.0624546280677003e-292,0.96
46,24,0.0,1.064574004241793e-46,0.96
47,24,0.0,4.410858602788908e-32,0.96
48,0,0.0,6.449166009352503e-109,0.96
49,24,0.0,5.247868140141311e-281,0.96
50,31,0.0,2.440242938522558e-172,0.96
51,5,0.0,3.4378205619685345e-33,0.96
52,6,0.0,0.0,0.96
53,18,0.0,1.11494222171443e-21,0.96
54,21,0.0,0.0,0.96
55,11,0.0,0.0,0.96
56,8,0.0,3.9502216960345847e-16,0.96
57,3,0.0,2.4968487044906135e-31,0.96
58,21,0.0,0.0,0.96
59,10,0.0,9.52747241045795e-73,0.96
60,16,0.0,6.272065297670259e-15,0.96
61,7,0.0,0.4,1.2
62,16,0.0,1.1588682431998626e-55,0.96
63,24,0.0,8.259561309714999e-264,0.96
64,7,0.0,8.972081027120775e-66,0.96
65,13,0.0,2.2269061849340946e-38,0.96
66,21,0.0,0.0,0.96
67,22,0.08,0.0,0.96
68,3,0.0,3.2395040787506e-108,0.96
69,8,0.0,0.0,0.96
70,19,0.0,0.0,0.96
71,25,0.0,7.757592989489365e-14,0.96
72,19,0.0,0.0,0.96
73,13,0.0,1.4750558089834565e-63,0.96
74,0,0.0,7.623590763885933e-113,0.96
75,24,0.0,6.03275979320801e-140,0.96
76,31,0.0,1.402498383684828e-13,0.96
77,23,0.0,0.0,0.96
78,3,0.0,6.919645397210567e-171,0.96
79,17,0.0,3.04981335800528e-59,0.96
80,13,0.0,0.0,0.96
81,0,0.0,0.4,1.2
82,2,0.0,2.729062997297778e-30,0.96
83,11,0.0,1.9323317126555866e-08,0.96
84,14,0.0,0.0,0.96
85,2,0.0,1.5581567178338554e-06,0.96
86,27,0.0,1.9656387066859276e-27,0.96
87,1,0.0,1.3208157351525772e-55,0.96
88,31,0.0,5.156165776359968e-146,0.96
89,24,0.0,1.1743520485192828e-158,0.96
90,30,0.0,7.623430974279877e-135,0.96
91,16,0.0,3.202834378749642e-249,0.96
92,29,0.0,0.019468212707489215,1.04
93,6,0.0,0.0,0.96
94,12,0.0,4.955045613594549e-06,0.96
95,26,0.0,3.632280184504738e-92,0.96
96,19,0.0,1.8442038833642441e-65,0.96
97,28,0.0,1.0006120632290486e-31,0.96
98,6,0.0,0.0,0.96
99,15,0.0,6.455563257610259e-245,0.96
100,20,0.0,3.2069219876282697e-13,0.96
101,8,0.0,2.3045216019402893e-34,0.96
102,17,0.0,3.2087559703523037e-131,0.96
103,12,0.0,1.0789541883261787e-112,0.96
104,14,0.0,0.00018413518834756312,0.96
105,14,0.0,0.0010044642153425253,0.96
106,10,0.0,2.9207966281195466e-05,0.96
107,6,0.0,0.4,1.2
