T,exact_or_approximate,tree_depth,observation_branch_count,belief_state_count,candidate_actions_evaluated,adaptive_reference_value,best_first_action,exact_fixed_value,exact_fixed_subset,estimated_adaptive_value,confidence_interval,K_outer,n_hyp_inner,runtime,outer_measure,uses_offline_banks_only,used_test_systems,row,a1,J_adaptive,se
2,exact_nested_MC_validation_outer,2,48,48,2862,0.9665364583333339,9,0.9633333333333333,"[13, 18]",-0.0032031250000006395,"[-0.007825520833333877, -0.0003906250000005329]",48,128,63.605958305997774,validation_systems_x_keyed_replicas,True,False,,,,
2,,,,,,,,,,,,,,,,,,per_a1,0,0.9672005208333337,0.0017658058833133186
2,,,,,,,,,,,,,,,,,,per_a1,1,0.9709114583333337,0.002292922442643275
2,,,,,,,,,,,,,,,,,,per_a1,2,0.9752473958333336,0.0018215774826996344
2,,,,,,,,,,,,,,,,,,per_a1,3,0.9793880208333338,0.009061114500032712
2,,,,,,,,,,,,,,,,,,per_a1,4,0.9710546875000002,0.0017723797987022174
2,,,,,,,,,,,,,,,,,,per_a1,5,0.9824088541666671,0.003788952063597385
2,,,,,,,,,,,,,,,,,,per_a1,6,0.9729947916666669,0.0018285240189095152
2,,,,,,,,,,,,,,,,,,per_a1,7,0.974361979166667,0.002214599865698162
2,,,,,,,,,,,,,,,,,,per_a1,8,0.9782942708333335,0.006968624761921387
2,,,,,,,,,,,,,,,,,,per_a1,9,0.9665364583333339,0.0017842393508532561
2,,,,,,,,,,,,,,,,,,per_a1,10,0.9671875000000004,0.0017553821112176568
2,,,,,,,,,,,,,,,,,,per_a1,11,0.9761848958333337,0.0018171520666116817
2,,,,,,,,,,,,,,,,,,per_a1,12,0.9790755208333337,0.00877406908344234
2,,,,,,,,,,,,,,,,,,per_a1,13,0.9704427083333336,0.0016679777575280908
2,,,,,,,,,,,,,,,,,,per_a1,14,0.9835416666666671,0.0034570553799611204
2,,,,,,,,,,,,,,,,,,per_a1,15,0.9744010416666672,0.0015823165288528034
2,,,,,,,,,,,,,,,,,,per_a1,16,0.9741145833333337,0.0019744806179968237
2,,,,,,,,,,,,,,,,,,per_a1,17,0.9760807291666671,0.005924384181102782
2,,,,,,,,,,,,,,,,,,per_a1,18,0.9686197916666671,0.002152708889288041
2,,,,,,,,,,,,,,,,,,per_a1,19,0.9682291666666671,0.002030468457575831
2,,,,,,,,,,,,,,,,,,per_a1,20,0.9761718750000004,0.0018176651496628153
2,,,,,,,,,,,,,,,,,,per_a1,21,0.980065104166667,0.00886180781276136
2,,,,,,,,,,,,,,,,,,per_a1,22,0.9710156250000003,0.001676743797123568
2,,,,,,,,,,,,,,,,,,per_a1,23,0.9815364583333337,0.003693659130712948
2,,,,,,,,,,,,,,,,,,per_a1,24,0.9754427083333338,0.001931223240297132
2,,,,,,,,,,,,,,,,,,per_a1,25,0.9778645833333336,0.0019999232356352533
2,,,,,,,,,,,,,,,,,,per_a1,26,0.9774869791666672,0.006941781791133848
2,,,,,,,,,,,,,,,,,,per_a1,27,0.9666536458333338,0.002508124099180078
2,,,,,,,,,,,,,,,,,,per_a1,28,0.9709375000000003,0.0021825076009470033
2,,,,,,,,,,,,,,,,,,per_a1,29,0.9755468750000004,0.0017318093684055775
2,,,,,,,,,,,,,,,,,,per_a1,30,0.9720182291666672,0.007154692111063399
2,,,,,,,,,,,,,,,,,,per_a1,31,0.971197916666667,0.0018291749210220974
2,,,,,,,,,,,,,,,,,,per_a1,32,0.9786588541666669,0.002579358088370117
2,,,,,,,,,,,,,,,,,,per_a1,33,0.9745442708333337,0.0017142348397352189
2,,,,,,,,,,,,,,,,,,per_a1,34,0.9738671875000003,0.0016278080546054863
2,,,,,,,,,,,,,,,,,,per_a1,35,0.9832942708333338,0.008321032163323647
2,,,,,,,,,,,,,,,,,,per_a1,36,0.9676822916666671,0.0026928575122949403
2,,,,,,,,,,,,,,,,,,per_a1,37,0.9703645833333336,0.002592070755794235
2,,,,,,,,,,,,,,,,,,per_a1,38,0.9755468750000004,0.0019462867880125885
2,,,,,,,,,,,,,,,,,,per_a1,39,0.9723828125000006,0.007000775078838216
2,,,,,,,,,,,,,,,,,,per_a1,40,0.9717838541666671,0.0017457868625620604
2,,,,,,,,,,,,,,,,,,per_a1,41,0.975690104166667,0.0025412324220208744
2,,,,,,,,,,,,,,,,,,per_a1,42,0.9772526041666669,0.0016964665640561906
2,,,,,,,,,,,,,,,,,,per_a1,43,0.9681640625000004,0.001157271785019703
2,,,,,,,,,,,,,,,,,,per_a1,44,0.9796614583333336,0.00690959217044264
2,,,,,,,,,,,,,,,,,,per_a1,45,0.9695442708333336,0.002131350965192228
2,,,,,,,,,,,,,,,,,,per_a1,46,0.9706380208333337,0.002033038422941729
2,,,,,,,,,,,,,,,,,,per_a1,47,0.9752734375000003,0.0018646198200969622
2,,,,,,,,,,,,,,,,,,per_a1,48,0.9829427083333337,0.009201650852547963
2,,,,,,,,,,,,,,,,,,per_a1,49,0.970729166666667,0.0018949636575917087
2,,,,,,,,,,,,,,,,,,per_a1,50,0.9744140625000003,0.0019810967967493704
2,,,,,,,,,,,,,,,,,,per_a1,51,0.9759505208333336,0.0017146640649081143
2,,,,,,,,,,,,,,,,,,per_a1,52,0.9688020833333337,0.0014145163527734751
2,,,,,,,,,,,,,,,,,,per_a1,53,0.977682291666667,0.006939598149207238
