seed,variant,delta,classification,selected_checkpoint_id
101,V1_fixed_init_terminal,-0.00666666666666671,improved,23
202,V1_fixed_init_terminal,-0.00666666666666671,improved,17
303,V1_fixed_init_terminal,0.0,tied,0
404,V1_fixed_init_terminal,-0.009999999999999898,improved,22
505,V1_fixed_init_terminal,0.0,tied,0
101,V2_fixed_init_potential,-0.00666666666666671,improved,22
202,V2_fixed_init_potential,0.0,tied,0
303,V2_fixed_init_potential,-0.0033333333333334103,improved,26
404,V2_fixed_init_potential,0.0,tied,0
505,V2_fixed_init_potential,-0.00666666666666671,improved,24
101,V3_fixed_init_potential_normadv,0.0,tied,0
202,V3_fixed_init_potential_normadv,0.0,tied,0
303,V3_fixed_init_potential_normadv,0.0,tied,0
404,V3_fixed_init_potential_normadv,0.0,tied,0
505,V3_fixed_init_potential_normadv,0.0,tied,0
