T,contrast,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
2,dad_minus_myopic,0.002159999999999995,0.0,0.001754084151690338,-0.0012800000000000062,0.005679999999999994,0.044,0.04,0.916,1000,10000
2,dad_minus_fixed,0.0031199999999999956,0.0,0.00168555827745786,-0.00016000000000000546,0.006479999999999995,0.034,0.038,0.928,1000,10000
2,dad_minus_random,-0.02632000000000001,0.0,0.0026361727953620583,-0.03152000000000001,-0.021200000000000014,0.219,0.031,0.75,1000,10000
2,myopic_minus_fixed,0.0009600000000000009,0.0,0.0009190882020367383,-0.0008000000000000007,0.0028800000000000023,0.014,0.022,0.964,1000,10000
2,myopic_minus_random,-0.028480000000000005,0.0,0.002527623088689942,-0.03360000000000001,-0.023600000000000006,0.221,0.039,0.74,1000,10000
2,fixed_minus_random,-0.029440000000000004,0.0,0.0024625496036731025,-0.034400000000000014,-0.024720000000000006,0.223,0.029,0.748,1000,10000
3,dad_minus_myopic,0.003599999999999996,0.0,0.0017147537375321225,0.0003179999999999951,0.0069599999999999974,0.035,0.041,0.924,1000,10000
3,dad_minus_fixed,0.008,0.0,0.0015479005123056188,0.005118,0.011120000000000001,0.011,0.045,0.944,1000,10000
3,dad_minus_random,-0.013280000000000009,0.0,0.002157288922582114,-0.01744000000000001,-0.009120000000000005,0.134,0.03,0.836,1000,10000
3,myopic_minus_fixed,0.004400000000000004,0.0,0.0011147567818509492,0.002240000000000002,0.006640000000000006,0.011,0.039,0.95,1000,10000
3,myopic_minus_random,-0.016880000000000003,0.0,0.0021662313260956603,-0.021040000000000007,-0.012720000000000002,0.144,0.034,0.822,1000,10000
3,fixed_minus_random,-0.021280000000000007,0.0,0.0019560643618725306,-0.025040000000000014,-0.01752000000000001,0.144,0.006,0.85,1000,10000
