xi1,n_histories,J_adaptive,J_common,Delta_adaptive,ci95_low,ci95_high,common_xi2,n_unique_xi2_star,dominant_xi2_star,dominant_fraction,near_tie_rate,mean_gap_best_second,xi2_star_distribution
0,256,0.8440644158257379,0.842730712890625,-0.0013337029351128521,-0.00264139387342666,-8.18676418728189e-06,4,26,1,0.07421875,0.01953125,0.0030115763346354246,"{""9"": 12, ""29"": 7, ""13"": 14, ""6"": 16, ""21"": 13, ""24"": 13, ""14"": 10, ""26"": 10, ""16"": 10, ""27"": 9, ""2"": 7, ""23"": 12, ""1"": 19, ""8"": 8, ""4"": 11, ""18"": 9, ""12"": 6, ""25"": 2, ""19"": 6, ""22"": 9, ""3"": 17, ""7"": 5, ""28"": 9, ""11"": 12, ""15"": 2, ""17"": 8}"
1,256,0.884041510687934,0.8836371527777779,-0.0004043579101562591,-0.000894944932725702,9.986665513780064e-05,12,29,0,0.140625,0.21875,0.001103634304470487,"{""24"": 9, ""19"": 14, ""14"": 10, ""23"": 7, ""4"": 11, ""13"": 7, ""29"": 10, ""0"": 36, ""2"": 13, ""21"": 3, ""5"": 9, ""15"": 5, ""7"": 10, ""12"": 12, ""3"": 6, ""18"": 8, ""27"": 11, ""10"": 4, ""28"": 7, ""22"": 14, ""20"": 9, ""11"": 3, ""8"": 10, ""17"": 10, ""9"": 7, ""26"": 1, ""6"": 1, ""25"": 7, ""16"": 2}"
2,256,0.8959036933051215,0.8947137620713976,-0.001189931233723975,-0.002329605950249582,-5.102369520400658e-05,9,24,11,0.10546875,0.03125,0.003169843885633674,"{""21"": 23, ""14"": 11, ""26"": 23, ""0"": 4, ""6"": 26, ""16"": 21, ""10"": 1, ""3"": 9, ""9"": 6, ""4"": 6, ""11"": 27, ""19"": 4, ""29"": 9, ""13"": 8, ""28"": 13, ""8"": 7, ""1"": 20, ""24"": 9, ""15"": 3, ""18"": 11, ""5"": 3, ""23"": 8, ""25"": 3, ""20"": 1}"
3,256,0.8565386454264323,0.8562707689073351,-0.0002678765190972181,-0.0014868079291449673,0.0009056939019097141,6,28,0,0.20703125,0.26953125,0.0027944776746961757,"{""14"": 9, ""0"": 53, ""5"": 7, ""21"": 14, ""23"": 4, ""11"": 14, ""17"": 9, ""6"": 10, ""8"": 3, ""19"": 11, ""12"": 6, ""13"": 4, ""1"": 13, ""16"": 8, ""25"": 6, ""24"": 9, ""2"": 7, ""9"": 7, ""4"": 4, ""26"": 11, ""7"": 6, ""27"": 8, ""15"": 7, ""20"": 9, ""29"": 7, ""10"": 5, ""22"": 4, ""18"": 1}"
4,256,0.8738328721788196,0.8725088331434462,-0.0013240390353732642,-0.002710978190104165,7.095336914062682e-05,21,26,0,0.08203125,0.1015625,0.003290218777126733,"{""3"": 8, ""7"": 9, ""11"": 17, ""1"": 15, ""6"": 12, ""0"": 21, ""23"": 19, ""2"": 8, ""25"": 8, ""26"": 11, ""22"": 10, ""24"": 2, ""17"": 13, ""18"": 11, ""12"": 3, ""15"": 6, ""5"": 8, ""10"": 6, ""28"": 17, ""8"": 9, ""16"": 15, ""13"": 6, ""20"": 6, ""21"": 10, ""27"": 5, ""19"": 1}"
5,256,0.8433041042751737,0.8426126268174914,-0.0006914774576822959,-0.00201729880438911,0.0006604173448350652,28,27,6,0.0625,0.0625,0.0036551581488715327,"{""29"": 15, ""21"": 9, ""3"": 13, ""16"": 13, ""9"": 11, ""24"": 14, ""18"": 10, ""4"": 8, ""27"": 11, ""23"": 11, ""28"": 12, ""14"": 10, ""26"": 9, ""13"": 13, ""1"": 15, ""17"": 6, ""19"": 10, ""12"": 9, ""11"": 14, ""2"": 4, ""22"": 12, ""6"": 16, ""8"": 5, ""15"": 1, ""25"": 1, ""10"": 1, ""7"": 3}"
6,256,0.8858707851833768,0.8855775621202258,-0.0002932230631510417,-0.0008202489217122368,0.00021879620022242655,13,27,0,0.12109375,0.28125,0.0012420654296875062,"{""18"": 8, ""11"": 2, ""15"": 9, ""29"": 10, ""25"": 8, ""0"": 31, ""3"": 7, ""24"": 11, ""7"": 18, ""17"": 17, ""4"": 11, ""14"": 10, ""20"": 7, ""9"": 7, ""22"": 10, ""2"": 17, ""19"": 4, ""8"": 8, ""13"": 6, ""12"": 13, ""27"": 8, ""5"": 9, ""1"": 3, ""28"": 7, ""10"": 7, ""23"": 7, ""26"": 1}"
7,256,0.8980990939670139,0.8963647630479601,-0.0017343309190538335,-0.002963182661268445,-0.0005354075961642922,29,24,11,0.12109375,0.01953125,0.0035296122233072894,"{""6"": 27, ""11"": 31, ""1"": 28, ""28"": 13, ""9"": 10, ""16"": 22, ""21"": 19, ""5"": 3, ""23"": 5, ""24"": 6, ""19"": 10, ""29"": 11, ""26"": 11, ""14"": 8, ""3"": 15, ""8"": 6, ""4"": 9, ""15"": 1, ""20"": 4, ""18"": 7, ""25"": 4, ""13"": 2, ""0"": 1, ""10"": 3}"
8,256,0.8559209187825522,0.8558179219563803,-0.00010299682617187023,-0.0014434030320909315,0.0012067582872178856,4,27,0,0.19140625,0.3046875,0.0026752895779079806,"{""19"": 11, ""6"": 9, ""18"": 4, ""14"": 9, ""1"": 14, ""12"": 7, ""9"": 17, ""20"": 4, ""11"": 11, ""24"": 9, ""17"": 4, ""4"": 11, ""29"": 14, ""15"": 11, ""10"": 7, ""27"": 3, ""0"": 49, ""25"": 11, ""7"": 7, ""22"": 6, ""26"": 8, ""21"": 6, ""16"": 7, ""2"": 11, ""13"": 1, ""5"": 4, ""23"": 1}"
9,256,0.8770836724175348,0.8765646192762588,-0.000519053141276038,-0.0016472032335069467,0.000630357530381944,18,28,0,0.07421875,0.08203125,0.0033342997233072806,"{""8"": 14, ""21"": 8, ""20"": 9, ""6"": 15, ""18"": 14, ""28"": 10, ""23"": 15, ""1"": 16, ""13"": 13, ""7"": 8, ""15"": 6, ""5"": 5, ""26"": 15, ""0"": 19, ""16"": 13, ""22"": 6, ""11"": 11, ""3"": 13, ""25"": 7, ""17"": 5, ""27"": 5, ""24"": 1, ""12"": 8, ""10"": 10, ""2"": 7, ""29"": 1, ""19"": 1, ""14"": 1}"
