xi1,y1_bin,y1_bin_id,y1_low,y1_high,n_histories,dominant_xi2_star,dominant_fraction,n_unique_xi2_star,xi2_star_distribution
0,low,0,1.1260007195028174,1.404820310324709,51,1,0.11764705882352941,23,"{""29"": 2, ""14"": 2, ""27"": 5, ""24"": 4, ""12"": 1, ""16"": 2, ""21"": 1, ""3"": 4, ""2"": 1, ""7"": 2, ""1"": 6, ""23"": 3, ""19"": 1, ""13"": 2, ""8"": 1, ""4"": 2, ""6"": 3, ""11"": 2, ""22"": 1, ""9"": 2, ""26"": 2, ""28"": 1, ""17"": 1}"
0,medium_low,1,1.404820310324709,1.649169790939214,51,13,0.11764705882352941,19,"{""13"": 6, ""24"": 3, ""21"": 4, ""6"": 6, ""9"": 3, ""28"": 3, ""26"": 4, ""1"": 4, ""17"": 2, ""3"": 3, ""11"": 4, ""22"": 1, ""18"": 2, ""4"": 1, ""7"": 1, ""8"": 1, ""14"": 1, ""19"": 1, ""16"": 1}"
0,medium,2,1.649169790939214,1.8699419778969406,51,1,0.09803921568627451,21,"{""6"": 4, ""21"": 3, ""26"": 2, ""13"": 3, ""8"": 3, ""14"": 3, ""2"": 1, ""12"": 3, ""22"": 3, ""3"": 4, ""23"": 2, ""18"": 2, ""16"": 1, ""17"": 1, ""27"": 3, ""1"": 5, ""7"": 1, ""9"": 2, ""28"": 2, ""11"": 2, ""29"": 1}"
0,medium_high,3,1.8699419778969406,2.1086029154898704,51,4,0.0784313725490196,23,"{""9"": 2, ""1"": 3, ""29"": 3, ""18"": 2, ""25"": 2, ""4"": 4, ""24"": 3, ""19"": 3, ""8"": 1, ""12"": 1, ""11"": 1, ""26"": 1, ""15"": 2, ""28"": 2, ""2"": 1, ""21"": 4, ""14"": 1, ""3"": 4, ""16"": 2, ""17"": 3, ""6"": 3, ""22"": 1, ""23"": 2}"
0,high,4,2.1086029154898704,2.6003776921636104,52,23,0.09615384615384616,23,"{""16"": 4, ""2"": 4, ""23"": 5, ""4"": 4, ""8"": 2, ""19"": 1, ""27"": 1, ""24"": 3, ""13"": 3, ""3"": 2, ""11"": 3, ""9"": 3, ""1"": 1, ""12"": 1, ""22"": 3, ""14"": 3, ""21"": 1, ""28"": 1, ""18"": 3, ""7"": 1, ""29"": 1, ""17"": 1, ""26"": 1}"
1,low,0,1.2142454059944112,1.5947471573779295,51,2,0.13725490196078433,20,"{""23"": 1, ""13"": 1, ""21"": 1, ""18"": 3, ""27"": 6, ""15"": 2, ""28"": 1, ""22"": 3, ""12"": 5, ""19"": 1, ""2"": 7, ""17"": 5, ""20"": 2, ""7"": 4, ""4"": 2, ""25"": 2, ""0"": 1, ""3"": 1, ""10"": 2, ""5"": 1}"
1,medium_low,1,1.5947471573779295,2.222783719972651,51,24,0.09803921568627451,21,"{""24"": 5, ""4"": 4, ""5"": 3, ""12"": 5, ""3"": 2, ""29"": 2, ""8"": 3, ""20"": 4, ""17"": 2, ""27"": 1, ""0"": 1, ""22"": 4, ""13"": 1, ""18"": 3, ""19"": 2, ""2"": 3, ""10"": 1, ""23"": 1, ""7"": 1, ""28"": 1, ""14"": 2}"
1,medium,2,2.222783719972651,2.6467768067262782,52,19,0.09615384615384616,22,"{""14"": 2, ""29"": 2, ""5"": 3, ""3"": 2, ""20"": 3, ""8"": 3, ""19"": 5, ""9"": 2, ""12"": 1, ""18"": 1, ""24"": 2, ""22"": 2, ""25"": 4, ""13"": 4, ""27"": 1, ""28"": 2, ""23"": 2, ""2"": 1, ""4"": 4, ""0"": 3, ""15"": 1, ""7"": 2}"
1,medium_high,3,2.6467768067262782,2.9436598202713937,50,22,0.1,26,"{""19"": 4, ""23"": 3, ""10"": 1, ""22"": 5, ""11"": 1, ""17"": 2, ""0"": 2, ""26"": 1, ""6"": 1, ""28"": 2, ""8"": 3, ""24"": 2, ""9"": 5, ""12"": 1, ""4"": 1, ""16"": 1, ""2"": 1, ""29"": 3, ""14"": 4, ""15"": 1, ""18"": 1, ""13"": 1, ""3"": 1, ""7"": 1, ""21"": 1, ""27"": 1}"
1,high,4,2.9436598202713937,3.9673629771780887,52,0,0.5576923076923077,16,"{""19"": 2, ""0"": 29, ""2"": 1, ""15"": 1, ""7"": 2, ""14"": 2, ""11"": 2, ""25"": 1, ""21"": 1, ""27"": 2, ""29"": 3, ""5"": 2, ""17"": 1, ""8"": 1, ""28"": 1, ""16"": 1}"
2,low,0,0.728642037690221,1.0243504585055871,51,21,0.1568627450980392,15,"{""21"": 8, ""26"": 5, ""3"": 2, ""16"": 5, ""6"": 7, ""11"": 7, ""19"": 2, ""24"": 2, ""14"": 3, ""9"": 1, ""28"": 2, ""29"": 2, ""4"": 2, ""1"": 1, ""23"": 2}"
2,medium_low,1,1.0243504585055871,1.1133209323398414,51,6,0.13725490196078433,15,"{""6"": 7, ""14"": 3, ""16"": 4, ""21"": 4, ""11"": 6, ""1"": 6, ""26"": 5, ""29"": 4, ""28"": 1, ""23"": 2, ""18"": 2, ""24"": 3, ""13"": 2, ""4"": 1, ""15"": 1}"
2,medium,2,1.1133209323398414,1.2200287629921354,52,16,0.11538461538461539,16,"{""26"": 5, ""16"": 6, ""14"": 3, ""19"": 2, ""6"": 6, ""21"": 5, ""29"": 2, ""5"": 1, ""11"": 6, ""24"": 2, ""1"": 5, ""3"": 3, ""25"": 2, ""28"": 2, ""18"": 1, ""9"": 1}"
2,medium_high,3,1.2200287629921354,1.3600697676464761,50,13,0.1,19,"{""0"": 1, ""6"": 3, ""9"": 1, ""11"": 4, ""3"": 2, ""29"": 1, ""13"": 5, ""28"": 5, ""8"": 4, ""24"": 2, ""15"": 1, ""1"": 5, ""23"": 3, ""18"": 4, ""14"": 1, ""4"": 1, ""26"": 3, ""16"": 2, ""21"": 2}"
2,high,4,1.3600697676464761,2.6728536790582176,52,26,0.09615384615384616,21,"{""14"": 1, ""10"": 1, ""9"": 3, ""4"": 2, ""11"": 4, ""26"": 5, ""28"": 3, ""16"": 4, ""8"": 3, ""15"": 1, ""18"": 4, ""6"": 3, ""0"": 3, ""21"": 4, ""1"": 3, ""5"": 2, ""23"": 1, ""20"": 1, ""25"": 1, ""13"": 1, ""3"": 2}"
3,low,0,2.731832427580666,3.0682329371388213,51,16,0.11764705882352941,19,"{""14"": 4, ""0"": 2, ""11"": 1, ""12"": 2, ""16"": 6, ""25"": 1, ""6"": 4, ""26"": 4, ""21"": 3, ""29"": 5, ""15"": 2, ""19"": 4, ""9"": 2, ""20"": 2, ""24"": 3, ""1"": 3, ""17"": 1, ""10"": 1, ""4"": 1}"
3,medium_low,1,3.0682329371388213,3.3961495207001198,51,11,0.11764705882352941,20,"{""21"": 4, ""17"": 4, ""24"": 3, ""11"": 6, ""25"": 1, ""1"": 5, ""27"": 5, ""14"": 2, ""26"": 5, ""15"": 3, ""6"": 2, ""5"": 1, ""10"": 2, ""22"": 1, ""4"": 1, ""19"": 2, ""20"": 1, ""7"": 1, ""2"": 1, ""12"": 1}"
3,medium,2,3.3961495207001198,6.699608150507509,51,11,0.09803921568627451,23,"{""11"": 5, ""6"": 1, ""8"": 1, ""1"": 2, ""14"": 2, ""0"": 4, ""24"": 2, ""15"": 2, ""12"": 3, ""5"": 3, ""25"": 3, ""26"": 2, ""23"": 1, ""21"": 3, ""19"": 2, ""7"": 2, ""20"": 5, ""9"": 2, ""29"": 1, ""22"": 1, ""17"": 1, ""16"": 2, ""27"": 1}"
3,medium_high,3,6.699608150507509,6.94120736381805,51,0,0.37254901960784315,19,"{""0"": 19, ""23"": 3, ""13"": 3, ""5"": 2, ""9"": 2, ""4"": 2, ""7"": 2, ""6"": 3, ""27"": 1, ""10"": 2, ""1"": 2, ""8"": 1, ""21"": 3, ""17"": 1, ""18"": 1, ""24"": 1, ""11"": 1, ""2"": 1, ""14"": 1}"
3,high,4,6.94120736381805,8.745218044493289,52,0,0.5384615384615384,17,"{""5"": 1, ""0"": 28, ""19"": 3, ""2"": 5, ""20"": 1, ""17"": 2, ""21"": 1, ""9"": 1, ""22"": 2, ""25"": 1, ""13"": 1, ""29"": 1, ""1"": 1, ""27"": 1, ""8"": 1, ""7"": 1, ""11"": 1}"
