system,sequence,xi1,xi2,xi3,mean_u_ctrl,std_u_ctrl,mean_u_raw,std_u_raw,n_eval
ieee5,17 21 11,17,21,11,0.85625,0.12927079136448422,0.8537500000000001,0.1452960340133205,80.0
ieee5,15 9 16,15,9,16,0.85125,0.12844624361965593,0.8487500000000001,0.14533904327468233,80.0
ieee5,4 27 9,4,27,9,0.88125,0.1351792791074135,0.891875,0.1632566518552919,80.0
ieee5,13 16 0,13,16,0,0.8487500000000001,0.13037805605238945,0.8481249999999999,0.14778441857990304,80.0
ieee5,22 11 9,22,11,9,0.85,0.1264911064067352,0.8487499999999999,0.14382606683073826,80.0
ieee5,27 24 1,27,24,1,0.85,0.1264911064067352,0.8487499999999999,0.14382606683073826,80.0
ieee5,11 21 16,11,21,16,0.8887500000000002,0.10723076750634589,0.878125,0.12669938585091875,80.0
ieee5,12 9 1,12,9,1,0.85,0.1284523257866513,0.8481249999999999,0.14543979639355933,80.0
ieee5,9 13 11,9,13,11,0.8537500000000001,0.12839757591169704,0.851875,0.14457777967239638,80.0
ieee5,17 2 24,17,2,24,0.88125,0.13425139664077987,0.8881250000000002,0.1581620509951739,80.0
ieee5,11 22 8,11,22,8,0.85,0.130384048104053,0.8493749999999999,0.14652084962557374,80.0
ieee5,12 1 11,12,1,11,0.8525,0.13131545986668897,0.851875,0.14736089839234828,80.0
ieee5,1 6 26,1,6,26,0.8875,0.11333026956643137,0.8762500000000001,0.12893191032479118,80.0
ieee5,20 13 26,20,13,26,0.85125,0.12844624361965593,0.849375,0.1450202033338803,80.0
ieee5,21 22 10,21,22,10,0.8512500000000001,0.12746935906326665,0.85125,0.14533904327468236,80.0
ieee5,4 15 21,4,15,21,0.8487500000000001,0.13037805605238945,0.846875,0.14712744263053032,80.0
ieee5,2 26 28,2,26,28,0.85125,0.13037805605238945,0.85,0.1464155046434632,80.0
ieee5,15 17 6,15,17,6,0.85,0.130384048104053,0.8487500000000001,0.14810785765785686,80.0
ieee5,26 24 19,26,24,19,0.865,0.1194780314534852,0.8618750000000001,0.13721419159474718,80.0
ieee5,19 7 1,19,7,1,0.85125,0.1294157544505305,0.8493749999999999,0.14587960575419714,80.0
ieee5,7 12 21,7,12,21,0.8637499999999999,0.12965699942540707,0.8587499999999999,0.14551095319597074,80.0
ieee5,5 4 24,5,4,24,0.9012499999999999,0.10427577618987068,0.9112500000000001,0.13554865362665902,80.0
ieee5,10 17 7,10,17,7,0.8975000000000002,0.12939764294607534,0.9125,0.15958931668504625,80.0
ieee5,0 25 4,0,25,4,0.89375,0.11329579647983415,0.90625,0.14606826315117183,80.0
ieee5,6 22 19,6,22,19,0.85,0.1264911064067352,0.8487499999999999,0.14382606683073826,80.0
ieee5,7 26 23,7,26,23,0.8524999999999998,0.13036007824483692,0.850625,0.14630741394406502,80.0
ieee5,7 16 0,7,16,0,0.85,0.12942179105544788,0.849375,0.14694679096530142,80.0
ieee5,7 13 4,7,13,4,0.8550000000000001,0.13407087677791923,0.8537500000000001,0.14974457419218898,80.0
ieee5,18 23 4,18,23,4,0.8637499999999999,0.12771428072067745,0.8631250000000001,0.14420986226676727,80.0
ieee5,1 2 24,1,2,24,0.85,0.1284523257866513,0.8481249999999999,0.14543979639355933,80.0
ieee5,13 8 5,13,8,5,0.8875,0.11659223816361018,0.8868749999999999,0.13127827076481466,80.0
ieee5,2 22 26,2,22,26,0.87625,0.12373737309317669,0.86875,0.1406180553840793,80.0
ieee5,4 11 28,4,11,28,0.85,0.1264911064067352,0.8487500000000001,0.14382606683073826,80.0
ieee5,16 25 21,16,25,21,0.85625,0.12434201824001412,0.853125,0.1417179747773725,80.0
ieee5,8 26 27,8,26,27,0.8512500000000001,0.13037805605238945,0.85,0.14641550464346317,80.0
ieee5,3 25 18,3,25,18,0.8800000000000001,0.11661903789690602,0.875625,0.13228608912126774,80.0
ieee5,10 12 13,10,12,13,0.8625,0.13169567191065923,0.8612499999999998,0.1472614596559466,80.0
ieee5,6 27 8,6,27,8,0.85125,0.13037805605238945,0.8493749999999999,0.14630741394406502,80.0
ieee5,15 28 29,15,28,29,0.85,0.13133925536563698,0.8487499999999999,0.1472614596559466,80.0
ieee5,5 0 22,5,0,22,0.8949999999999999,0.13865424623862047,0.9118749999999999,0.1692342588691781,80.0
ieee5,13 23 20,13,23,20,0.8862500000000001,0.11483003744665417,0.88375,0.12984967269885586,80.0
ieee5,1 18 13,1,18,13,0.8600000000000001,0.12609520212918493,0.85625,0.14282309862203657,80.0
ieee5,18 27 6,18,27,6,0.85125,0.13037805605238945,0.85,0.1464155046434632,80.0
ieee5,19 15 0,19,15,0,0.8962499999999999,0.10890793129979102,0.9081250000000001,0.1426191935715526,80.0
ieee5,1 17 26,1,17,26,0.8575000000000002,0.1282331860323216,0.8543749999999999,0.14517096601938004,80.0
ieee5,14 25 9,14,25,9,0.8862500000000001,0.1169869116610914,0.9,0.15020818885799797,80.0
ieee5,19 17 27,19,17,27,0.8800000000000001,0.1345362404707371,0.8868749999999999,0.15845814707675962,80.0
ieee5,23 4 20,23,4,20,0.8487500000000001,0.12844624361965593,0.8475000000000001,0.14553779577827883,80.0
ieee5,8 15 13,8,15,13,0.8875,0.11659223816361018,0.8837499999999998,0.13104746277589654,80.0
ieee5,27 7 23,27,7,23,0.875,0.13181426326464069,0.8775000000000001,0.14745762103058624,80.0
ieee5,24 3 20,24,3,20,0.85125,0.1294157544505305,0.85,0.14555926628009633,80.0
ieee5,13 0 23,13,0,23,0.88375,0.11666592261667501,0.8806249999999999,0.13145668250416176,80.0
ieee5,10 12 8,10,12,8,0.86,0.13095800853708794,0.8574999999999999,0.1468630314272451,80.0
ieee5,22 15 10,22,15,10,0.8887500000000002,0.1332232618576801,0.8974999999999997,0.15986322278748163,80.0
ieee5,21 22 0,21,22,0,0.8525,0.1264663986994174,0.851875,0.14479376497280536,80.0
ieee5,17 28 26,17,28,26,0.85125,0.13037805605238945,0.85,0.14641550464346317,80.0
ieee5,16 29 13,16,29,13,0.85,0.12942179105544788,0.8481249999999999,0.1458688944737705,80.0
ieee5,4 29 22,4,29,22,0.87625,0.13157103594636627,0.8856249999999999,0.1607003714214749,80.0
ieee5,28 13 20,28,13,20,0.87375,0.11805057179022897,0.8712499999999999,0.13387844299961063,80.0
ieee5,10 27 2,10,27,2,0.8949999999999999,0.13407087677791923,0.9125,0.1626921940352394,80.0
ieee5,19 6 26,19,6,26,0.8587499999999999,0.12009761654587488,0.8574999999999999,0.13786315678962233,80.0
ieee5,5 23 9,5,23,9,0.85,0.13133925536563698,0.8487500000000001,0.14810785765785686,80.0
ieee5,4 6 29,4,6,29,0.8625,0.12183492931011206,0.8574999999999999,0.13854151002497406,80.0
ieee5,1 9 8,1,9,8,0.8525,0.12547410091329605,0.851875,0.14261919357155262,80.0
ieee5,21 26 6,21,26,6,0.8875,0.11222187843731721,0.878125,0.12938405765394742,80.0
