system,method,init_mode,seed,mean_zero_intermediate_reward_fraction,n_updates_logged
ieee5,RL-sBOED,random,101,0.31145833333333334,120
ieee5,RL-sBOED,random,202,0.3151041666666667,120
ieee5,RL-sBOED,random,303,0.3411458333333333,120
ieee5,RL-sBOED,random,404,0.33375,100
ieee5,RL-sBOED,random,505,0.278125,120
ieee5,RL-sBOED,fixed,101,0.32708333333333334,90
ieee5,RL-sBOED,fixed,202,0.38055555555555554,90
ieee5,RL-sBOED,fixed,303,0.42083333333333334,90
ieee5,RL-sBOED,fixed,404,0.34444444444444444,90
ieee5,RL-sBOED,fixed,505,0.3840277777777778,90
ieee5,DAD,random,101,0.0,120
ieee5,DAD,random,202,0.0,120
ieee5,DAD,random,303,0.0,120
ieee5,DAD,random,404,0.0,120
ieee5,DAD,random,505,0.0,120
ieee5,DAD,fixed,101,0.0,90
ieee5,DAD,fixed,202,0.0,90
ieee5,DAD,fixed,303,0.0,120
ieee5,DAD,fixed,404,0.0,120
ieee5,DAD,fixed,505,0.0,90
