split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,0,0,8 20 21,0.8,1.000000 1.000000 1.000000 0.800000,0.000000 0.000000 -0.800000
confirmation,1,1,8 21 9,0.8,1.000000 1.000000 0.900000 0.800000,0.000000 0.000000 -0.800000
confirmation,2,2,8 20 21,0.8,1.000000 1.000000 0.900000 0.800000,0.000000 0.000000 -0.800000
confirmation,3,3,8 21 9,0.9,1.000000 0.900000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,4,4,8 20 21,1.0,1.000000 1.000000 0.900000 1.000000,0.000000 0.000000 -1.000000
confirmation,5,5,8 21 9,0.6,1.000000 0.900000 0.600000 0.600000,0.000000 0.000000 -0.600000
confirmation,6,6,8 20 21,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,7,7,8 21 9,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,8,8,8 21 9,0.6,1.000000 0.900000 0.600000 0.600000,0.000000 0.000000 -0.600000
confirmation,9,9,8 21 9,0.8,1.000000 0.800000 0.800000 0.800000,0.000000 0.000000 -0.800000
confirmation,10,10,8 20 21,0.8,1.000000 1.000000 1.000000 0.800000,0.000000 0.000000 -0.800000
confirmation,11,11,8 20 21,0.8,1.000000 1.000000 0.800000 0.800000,0.000000 0.000000 -0.800000
confirmation,12,12,8 20 21,1.0,1.000000 0.900000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,13,13,8 20 21,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,14,14,8 21 9,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,15,15,8 20 21,0.8,1.000000 1.000000 1.000000 0.800000,0.000000 0.000000 -0.800000
confirmation,16,0,8 20 21,0.8,1.000000 0.900000 1.000000 0.800000,0.000000 0.000000 -0.800000
confirmation,17,1,8 21 9,0.8,1.000000 1.000000 0.900000 0.800000,0.000000 0.000000 -0.800000
confirmation,18,2,8 20 21,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,19,3,8 21 9,0.9,1.000000 0.900000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,20,4,8 20 21,0.9,1.000000 0.900000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,21,5,8 21 9,0.6,1.000000 0.900000 0.600000 0.600000,0.000000 0.000000 -0.600000
confirmation,22,6,8 20 21,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,23,7,8 21 9,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,24,8,8 21 9,0.6,1.000000 0.900000 0.600000 0.600000,0.000000 0.000000 -0.600000
confirmation,25,9,8 21 9,0.8,1.000000 0.800000 0.800000 0.800000,0.000000 0.000000 -0.800000
confirmation,26,10,8 20 21,0.7,1.000000 1.000000 0.900000 0.700000,0.000000 0.000000 -0.700000
confirmation,27,11,8 20 21,0.8,1.000000 1.000000 0.800000 0.800000,0.000000 0.000000 -0.800000
confirmation,28,12,8 20 21,1.0,1.000000 0.900000 0.700000 1.000000,0.000000 0.000000 -1.000000
confirmation,29,13,8 20 21,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,30,14,8 21 9,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,31,15,8 20 21,0.8,1.000000 1.000000 1.000000 0.800000,0.000000 0.000000 -0.800000
