split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,0,0,6 23 3,0.8,1.000000 0.700000 0.800000 0.800000,0.300000 -0.100000 0.000000
confirmation,1,1,6 23 3,0.9,1.000000 0.900000 0.900000 0.900000,0.100000 0.000000 0.000000
confirmation,2,2,6 23 3,0.8,1.000000 0.900000 0.800000 0.800000,0.100000 0.100000 0.000000
confirmation,3,3,6 23 3,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.100000 0.000000
confirmation,4,4,6 23 3,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.100000 0.000000
confirmation,5,5,6 23 3,0.9,1.000000 0.900000 0.900000 0.900000,0.100000 0.000000 0.000000
confirmation,6,6,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,7,7,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,8,8,6 23 3,0.6,1.000000 0.700000 0.600000 0.600000,0.300000 0.100000 0.000000
confirmation,9,9,6 23 3,0.8,1.000000 0.900000 0.800000 0.800000,0.100000 0.100000 0.000000
confirmation,10,10,6 23 3,0.6,1.000000 0.700000 0.700000 0.600000,0.300000 0.000000 0.100000
confirmation,11,11,6 23 3,0.8,1.000000 0.800000 0.800000 0.800000,0.200000 0.000000 0.000000
confirmation,12,12,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,13,13,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,14,14,6 23 3,0.9,1.000000 0.900000 0.900000 0.900000,0.100000 0.000000 0.000000
confirmation,15,15,6 23 3,0.8,1.000000 0.800000 0.800000 0.800000,0.200000 0.000000 0.000000
confirmation,16,0,6 23 3,0.6,1.000000 0.700000 0.700000 0.600000,0.300000 0.000000 0.100000
confirmation,17,1,6 23 3,0.6,1.000000 0.800000 0.800000 0.600000,0.200000 0.000000 0.200000
confirmation,18,2,6 23 3,0.8,1.000000 0.900000 0.800000 0.800000,0.100000 0.100000 0.000000
confirmation,19,3,6 23 3,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.100000 0.000000
confirmation,20,4,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,21,5,6 23 3,0.9,1.000000 0.900000 0.900000 0.900000,0.100000 0.000000 0.000000
confirmation,22,6,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,23,7,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,24,8,6 23 3,0.6,1.000000 0.700000 0.600000 0.600000,0.300000 0.100000 0.000000
confirmation,25,9,6 23 3,0.8,1.000000 0.900000 0.800000 0.800000,0.100000 0.100000 0.000000
confirmation,26,10,6 23 3,0.6,1.000000 0.700000 0.700000 0.600000,0.300000 0.000000 0.100000
confirmation,27,11,6 23 3,0.6,1.000000 0.700000 0.600000 0.600000,0.300000 0.100000 0.000000
confirmation,28,12,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,29,13,6 23 3,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 0.000000
confirmation,30,14,6 23 3,0.9,1.000000 0.900000 0.900000 0.900000,0.100000 0.000000 0.000000
confirmation,31,15,6 23 3,0.8,1.000000 0.900000 0.800000 0.800000,0.100000 0.100000 0.000000
