update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
1,0.965,-0.0019869874231517315,0.05542843043804169,0.030663257464766502,0.0008974174852482975,0.0,dad_terminal,DAD,fixed,,,
2,0.965,-0.0005808973219245672,0.02118797041475773,0.036978546530008316,-0.00026422739028930664,0.0,dad_terminal,DAD,fixed,,,
3,0.98,-9.397454414283857e-05,0.01013267133384943,0.03275928273797035,-3.565351289580576e-05,0.0,dad_terminal,DAD,fixed,,,
4,0.98,-0.003551401663571596,0.008107750676572323,0.054169848561286926,0.0024086337070912123,0.0,dad_terminal,DAD,fixed,,,
5,0.97,0.0007246840395964682,0.0017891083844006062,0.11747860163450241,-0.009640823118388653,0.0,dad_terminal,DAD,fixed,,,
6,0.975,-0.006512077059596777,0.0021169621031731367,0.06780368089675903,-0.0059403725899755955,0.0,dad_terminal,DAD,fixed,,,
7,0.97,0.0005758285988122225,0.00229719583876431,0.04402214288711548,-0.001722097396850586,0.0,dad_terminal,DAD,fixed,,,
8,0.96,-0.00030859786784276366,0.0003662435046862811,0.039810147136449814,-0.0002414981572655961,0.0,dad_terminal,DAD,fixed,,,
9,0.975,-0.0009339435491710901,0.0013039628975093365,0.04518347978591919,0.0006457169656641781,0.0,dad_terminal,DAD,fixed,,,
10,0.965,0.00020590878557413816,0.001027028076350689,0.05365866795182228,0.0006278554792515934,0.0,dad_terminal,DAD,fixed,0.97125,1,1.0
11,0.96,-0.0008466084836982191,0.00031418807338923216,0.04449988901615143,-0.0010715225944295526,0.0,dad_terminal,DAD,fixed,,,
12,0.98,-0.0007515982142649591,0.0018539481097832322,0.033261578530073166,-0.000927269458770752,0.0,dad_terminal,DAD,fixed,,,
13,0.97,-0.0005179283325560391,0.001226582215167582,0.028359269723296165,-0.00040378174162469804,0.0,dad_terminal,DAD,fixed,,,
14,0.97,9.714062616694719e-05,0.0007906525861471891,0.027308374643325806,-6.63300379528664e-05,0.0,dad_terminal,DAD,fixed,,,
15,0.96,-0.00034457066794857383,3.107668089796789e-05,0.026946252211928368,-1.3262033462524414e-05,0.0,dad_terminal,DAD,fixed,,,
16,0.96,-0.005979008972644806,3.4154978493461385e-05,0.021168550476431847,0.02096603251993656,0.0,dad_terminal,DAD,fixed,,,
17,0.98,-0.00017576082609593868,0.0017907503060996532,0.017250902950763702,-0.00028114518499933183,0.0,dad_terminal,DAD,fixed,,,
18,0.96,-0.0001108185388147831,3.192473013768904e-05,0.015247334726154804,-0.00013139843940734863,0.0,dad_terminal,DAD,fixed,,,
19,0.965,-0.00017835896869655699,0.00030548256472684443,0.014275961555540562,-6.0925882280571386e-05,0.0,dad_terminal,DAD,fixed,,,
20,0.96,-0.0002993002417497337,9.862852311925963e-05,0.01413732673972845,3.6021072446601465e-05,0.0,dad_terminal,DAD,fixed,0.97125,1,1.0
21,0.98,4.5353517634794116e-05,0.0013716993853449821,0.014650951139628887,6.397565448423848e-05,0.0,dad_terminal,DAD,fixed,,,
22,0.97,-0.00024052718072198331,0.0003412193327676505,0.013320664875209332,-0.00015996892761904746,0.0,dad_terminal,DAD,fixed,,,
23,0.975,-0.0002500630507711321,0.001663996372371912,0.011995524168014526,-0.00012803077697753906,0.0,dad_terminal,DAD,fixed,,,
24,0.965,-0.00012642024375963956,0.00018531626847106963,0.011595841497182846,-2.9802322387695312e-05,0.0,dad_terminal,DAD,fixed,,,
25,0.975,-3.471807576715946e-05,0.0008721158374100924,0.011740795336663723,9.98377799987793e-06,0.0,dad_terminal,DAD,fixed,,,
26,0.96,-7.991400343598798e-05,2.3097481971490197e-06,0.011970911175012589,1.1146068572998047e-05,0.0,dad_terminal,DAD,fixed,,,
27,0.98,-7.080422801664099e-05,0.0009694134932942688,0.012337439693510532,1.9898017853847705e-05,0.0,dad_terminal,DAD,fixed,,,
28,0.96,-8.170868386514485e-05,1.3920606534156832e-06,0.01282555889338255,3.3527612686157227e-05,0.0,dad_terminal,DAD,fixed,,,
29,0.98,-7.335550617426634e-05,0.0017470536986365914,0.013397548347711563,3.7471454561455175e-05,0.0,dad_terminal,DAD,fixed,,,
30,0.96,-6.501350435428321e-05,2.6752530175144784e-05,0.013831205666065216,3.1809013307793066e-05,0.0,dad_terminal,DAD,fixed,0.97125,1,1.0
31,0.96,-8.197282295441255e-05,0.00023448059801012278,0.014264692552387714,4.029273986816406e-05,0.0,dad_terminal,DAD,fixed,,,
32,0.96,-9.303566184826195e-05,0.0002905257570091635,0.015193772502243519,7.050236308714375e-05,0.0,dad_terminal,DAD,fixed,,,
33,0.975,-0.0001029755876515992,0.0016913128783926368,0.016471469774842262,9.89536420092918e-05,0.0,dad_terminal,DAD,fixed,,,
34,0.965,-0.0001149451854871586,0.00018870072381105274,0.018186889588832855,0.00013849139213562012,0.0,dad_terminal,DAD,fixed,,,
35,0.96,-0.00021214911248534918,3.676036430988461e-05,0.021059570834040642,0.00024788579321466386,0.0,dad_terminal,DAD,fixed,,,
36,0.965,-0.00043542718049138784,0.00021499081049114466,0.02804008312523365,0.0006604194641113281,0.0,dad_terminal,DAD,fixed,,,
37,0.99,3.267574356868863e-06,0.0030727649573236704,0.037940990179777145,0.0007971227169036865,0.0,dad_terminal,DAD,fixed,,,
38,0.98,-0.00041704229079186916,0.0017823238158598542,0.03464093431830406,-0.0004247426986694336,0.0,dad_terminal,DAD,fixed,,,
39,0.975,-0.0007945706602185965,0.0016099481144919991,0.04070669785141945,0.0008610387449152768,0.0,dad_terminal,DAD,fixed,,,
40,0.97,-0.029286639764904976,0.0007114466279745102,0.25460582971572876,0.03233891725540161,0.0,dad_terminal,DAD,fixed,0.97125,1,1.0
41,0.97,0.057972267270088196,0.00037298849201761186,0.9696200489997864,0.06309998035430908,0.0,dad_terminal,DAD,fixed,,,
42,0.985,-0.03131341189146042,0.0021911640651524067,1.1067731380462646,0.059201937168836594,0.0,dad_terminal,DAD,fixed,,,
43,0.975,-0.04717765748500824,0.00157612981274724,1.258582592010498,0.04153070226311684,0.0,dad_terminal,DAD,fixed,,,
44,0.975,-0.02835000306367874,0.0015799292596057057,1.1493114233016968,0.03442756459116936,0.0,dad_terminal,DAD,fixed,,,
45,0.965,-0.04057375341653824,0.00018085136252921075,1.209219217300415,0.009346027858555317,0.0,dad_terminal,DAD,fixed,,,
46,0.97,-0.027824562042951584,0.0006947320071049035,1.1299973726272583,0.006032114382833242,0.0,dad_terminal,DAD,fixed,,,
47,0.96,-0.04741638898849487,4.786021600011736e-05,1.0638679265975952,0.035227954387664795,0.0,dad_terminal,DAD,fixed,,,
