update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
1,0.98,-0.13018181920051575,0.09785006195306778,3.960615873336792,0.01506205927580595,0.0,dad_terminal,DAD,random,,,
2,0.98,-0.0836787223815918,0.029012219980359077,3.954176664352417,0.008056129328906536,0.0,dad_terminal,DAD,random,,,
3,1.0,-0.052525587379932404,0.00493268296122551,3.945619583129883,0.013037915341556072,0.0,dad_terminal,DAD,random,,,
4,0.99,-0.04871636629104614,0.007427580188959837,3.9373369216918945,0.01279852818697691,0.0,dad_terminal,DAD,random,,,
5,0.96,-0.05348840728402138,0.004778476897627115,3.9304018020629883,-0.004210015293210745,0.0,dad_terminal,DAD,random,,,
6,0.985,-0.03904777020215988,0.0023360594641417265,3.926323652267456,0.0005512833595275879,0.0,dad_terminal,DAD,random,,,
7,0.98,-0.0450248122215271,0.0028008471708744764,3.924025535583496,-0.0028696556109935045,0.0,dad_terminal,DAD,random,,,
8,0.98,-0.04193054139614105,0.0015556043945252895,3.9220802783966064,0.011273786425590515,0.0,dad_terminal,DAD,random,,,
9,0.96,-0.047535240650177,0.0003646208206191659,3.9207046031951904,0.003431379795074463,0.0,dad_terminal,DAD,random,,,
10,0.96,-0.04495306313037872,0.0004959675716236234,3.918327569961548,0.008235330693423748,0.0,dad_terminal,DAD,random,0.99875,1,1.0
11,0.985,-0.055601686239242554,0.002331685507670045,3.9185521602630615,-0.007501587271690369,0.0,dad_terminal,DAD,random,,,
12,0.96,-0.04925569146871567,0.0008770152926445007,3.920299530029297,-0.007737994194030762,0.0,dad_terminal,DAD,random,,,
13,0.96,-0.03693750873208046,0.00041387591045349836,3.9207000732421875,-0.0022725909948349,0.0,dad_terminal,DAD,random,,,
14,0.985,-0.061442360281944275,0.0024433652870357037,3.9223034381866455,-0.0016058484325185418,0.0,dad_terminal,DAD,random,,,
15,1.005,-0.05455659329891205,0.004443801008164883,3.919098138809204,0.0004162689147051424,0.0,dad_terminal,DAD,random,,,
16,0.96,-0.046151306480169296,1.0108825335919391e-05,3.9123504161834717,-0.006597667932510376,0.0,dad_terminal,DAD,random,,,
17,0.96,-0.05607189983129501,0.0017796115716919303,3.9042670726776123,-0.0027538936119526625,0.0,dad_terminal,DAD,random,,,
18,0.985,-0.05682733282446861,0.002616611309349537,3.890946626663208,0.0060129365883767605,0.0,dad_terminal,DAD,random,,,
19,0.98,-0.03764817491173744,0.002558311214670539,3.886143445968628,-0.011260797269642353,0.0,dad_terminal,DAD,random,,,
20,0.99,-0.04887191951274872,0.003277262905612588,3.880718469619751,0.006201133131980896,0.0,dad_terminal,DAD,random,0.97125,2,0.921875
21,0.965,-0.046971045434474945,0.00018876018293667585,3.8728368282318115,0.0001333405525656417,0.0,dad_terminal,DAD,random,,,
22,1.0,-0.0530785396695137,0.0024494221433997154,3.865199327468872,0.00186900794506073,0.0,dad_terminal,DAD,random,,,
23,0.985,-0.056151133030653,0.0015649795532226562,3.8562729358673096,-0.0010274946689605713,0.0,dad_terminal,DAD,random,,,
24,0.96,-0.050413936376571655,0.0003188916598446667,3.844060182571411,0.0026517410296946764,0.0,dad_terminal,DAD,random,,,
25,0.96,-0.04822886362671852,9.381592826684937e-05,3.8356235027313232,0.012925063259899616,0.0,dad_terminal,DAD,random,,,
26,0.96,-0.05042099207639694,0.0002798402856569737,3.8285436630249023,-0.004550894256681204,0.0,dad_terminal,DAD,random,,,
