update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
1,0.96,-0.0010668702889233828,0.002116263611242175,0.031487494707107544,0.000980248092673719,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
2,0.975,-0.0010189723689109087,0.0022031525149941444,0.0493270568549633,0.00277893734164536,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
3,0.965,-0.01230225432664156,0.0013867901870980859,0.11265823990106583,0.01876349188387394,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
4,0.975,-0.007180646527558565,0.001304186531342566,0.1407400369644165,0.006992126349359751,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
5,0.975,-0.0037407290656119585,0.0016485623782500625,0.11075856536626816,0.02655327320098877,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
6,0.97,-0.00965262670069933,0.002197711495682597,0.15224966406822205,0.004162773489952087,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
7,0.96,-0.02377370372414589,0.0010745953768491745,0.25894710421562195,0.02435215376317501,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
8,0.96,0.0004261970752850175,0.0011771306162700057,0.3316632807254791,0.0027407854795455933,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
9,0.985,-0.0010192543268203735,0.00279822270385921,0.3094310462474823,0.0022945303935557604,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
10,0.96,-0.02957168035209179,0.0016679982654750347,0.32051774859428406,0.02264171838760376,0.0,rl_sboed_stepwise,RL-sBOED,fixed,0.97875,2,0.578125
11,0.97,-0.009500950574874878,0.002142534824088216,0.3451131582260132,0.008124768733978271,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
12,0.96,-0.02387407049536705,0.0017413856694474816,0.31659939885139465,0.02063414454460144,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
13,0.965,0.001047471072524786,0.0011970908381044865,0.3591966927051544,0.001698459149338305,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
14,0.975,-0.009480459615588188,0.001327910111285746,0.3370688855648041,0.001444255351088941,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
15,0.975,-0.0007148287841118872,0.0020033027976751328,0.3099933862686157,-0.0002987086772918701,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
16,0.965,-0.006009416654706001,0.0018591805128380656,0.326562762260437,0.000833983242046088,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
17,0.96,-0.0034426769707351923,0.001105564646422863,0.3464767634868622,0.004166955593973398,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
18,0.965,-0.0061591085977852345,0.0009205106762237847,0.34130051732063293,0.005501811858266592,0.125,rl_sboed_stepwise,RL-sBOED,fixed,,,
19,0.965,-0.01282116211950779,0.0008960707928054035,0.381807804107666,-0.005580475088208914,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
20,0.99,-0.010465119034051895,0.0025067536626011133,0.4086615741252899,-0.0020077924709767103,0.0,rl_sboed_stepwise,RL-sBOED,fixed,0.97875,1,1.0
21,0.96,-0.013468445278704166,0.0015361635014414787,0.36756113171577454,0.01831875741481781,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
22,0.965,-0.0025483444333076477,0.0007766908966004848,0.3284171521663666,-0.0008480747346766293,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
23,0.96,-0.010208488442003727,0.001094526844099164,0.29967838525772095,0.03019864298403263,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
24,0.995,0.0018326505087316036,0.0015381081029772758,0.3409591615200043,0.001111964345909655,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
25,0.965,-0.010272298008203506,0.002118693431839347,0.42427757382392883,0.00017178058624267578,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
26,0.96,-0.01727619767189026,0.0012442904990166426,0.48093047738075256,0.013341675512492657,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
27,0.975,-0.003045804100111127,0.001302095246501267,0.5753173232078552,0.0084233982488513,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
