update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
1,0.99,-0.11778560280799866,0.004369020462036133,3.957193613052368,0.003847554326057434,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
2,0.97,-0.06922104954719543,0.0011952483328059316,3.947434663772583,0.013399367220699787,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
3,0.995,-0.05332861840724945,0.004305664915591478,3.937988519668579,0.001252487301826477,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
4,0.985,-0.040466345846652985,0.0025990575086325407,3.93170428276062,-0.004420071840286255,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
5,0.985,-0.04598136991262436,0.004033192992210388,3.929063081741333,0.006262967828661203,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
6,0.96,-0.045911259949207306,0.001290462096221745,3.922668218612671,0.005513479467481375,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
7,0.99,-0.04940827190876007,0.0016358786961063743,3.9169769287109375,0.006278375629335642,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
8,1.0,-0.04457318037748337,0.0036924006417393684,3.911226511001587,0.009684224613010883,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
9,0.98,-0.03191504627466202,0.0029410317074507475,3.9097774028778076,-0.00273141753859818,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
10,1.005,-0.042255692183971405,0.002079901983961463,3.9075212478637695,0.004498019814491272,0.0625,rl_sboed_stepwise,RL-sBOED,random,0.97125,2,0.65625
11,0.975,-0.04047609120607376,0.0029003515373915434,3.900285482406616,0.0006965796346776187,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
12,0.96,-0.05025028437376022,0.001482231542468071,3.893620252609253,0.00964092742651701,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
13,0.995,-0.044673629105091095,0.0021357552614063025,3.885751724243164,0.0059441872872412205,0.125,rl_sboed_stepwise,RL-sBOED,random,,,
14,1.04,-0.04779655486345291,0.0032442985102534294,3.8789913654327393,-0.003949085716158152,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
