system,method,init_mode,seed,mean_zero_intermediate_reward_fraction,n_updates_logged
ieee9,RL-sBOED,random,101,0.04791666666666667,90
ieee9,RL-sBOED,random,202,0.0296875,120
ieee9,RL-sBOED,random,303,0.03125,120
ieee9,RL-sBOED,random,404,0.04027777777777778,90
ieee9,RL-sBOED,random,505,0.031818181818181815,110
ieee9,RL-sBOED,fixed,101,0.01818181818181818,110
ieee9,RL-sBOED,fixed,202,0.021527777777777778,90
ieee9,RL-sBOED,fixed,303,0.011458333333333333,120
ieee9,RL-sBOED,fixed,404,0.020833333333333332,90
ieee9,RL-sBOED,fixed,505,0.016145833333333335,120
ieee9,DAD,random,101,0.0,120
ieee9,DAD,random,202,0.0,120
ieee9,DAD,random,303,0.0,100
ieee9,DAD,random,404,0.0,100
ieee9,DAD,random,505,0.0,120
ieee9,DAD,fixed,101,0.0,90
ieee9,DAD,fixed,202,0.0,90
ieee9,DAD,fixed,303,0.0,90
ieee9,DAD,fixed,404,0.0,90
ieee9,DAD,fixed,505,0.0,120
