system,particle_count,frac_design_agreement,frac_bus_agreement,frac_amplitude_agreement,regret_mean_abs_error,regret_median_abs_error,regret_p95_abs_error,regret_max_abs_error,regret_n
ieee5,128,0.4970954356846473,0.870539419087137,0.5734439834024896,0.008526970954356844,0.0,0.08125000000000004,0.13437500000000002,1205
ieee5,256,0.5526970954356847,0.9112033195020747,0.5933609958506224,0.005168568464730293,0.0,0.014999999999999871,0.1343749999999999,1205
ieee5,512,0.4473029045643154,0.9543568464730291,0.47717842323651455,0.0031509336099585076,0.0,0.011874999999999827,0.1343749999999999,1205
ieee5,1024,0.6514522821576764,0.9717842323651452,0.6705394190871369,0.0014367219917012525,0.0,0.006249999999999978,0.08125000000000004,1205
ieee5,2048,nan,nan,nan,nan,nan,nan,nan,0
ieee9,128,0.2033195020746888,0.6896265560165975,0.3369294605809129,0.01941078838174276,0.0025000000000000577,0.08750000000000013,0.21750000000000003,1205
ieee9,256,0.1908713692946058,0.7095435684647303,0.30373443983402487,0.015495850622406668,0.0025000000000001688,0.06949999999999985,0.20999999999999996,1205
ieee9,512,0.3203319502074689,0.7618257261410788,0.44232365145228214,0.009778008298755206,0.0024999999999999467,0.04500000000000015,0.14500000000000002,1205
ieee9,1024,0.25809128630705397,0.8497925311203319,0.3253112033195021,0.005612033195020761,0.0024999999999999467,0.025,0.11750000000000016,1205
ieee9,2048,nan,nan,nan,nan,nan,nan,nan,0
