system,particle_count,reference_particle_count,frac_u_ctrl_changed,u_cont_mean_abs_error,u_cont_median_abs_error,u_cont_p95_abs_error,u_cont_max_abs_error,u_cont_n,u_ctrl_mean_abs_error,u_ctrl_median_abs_error,u_ctrl_p95_abs_error,u_ctrl_max_abs_error,u_ctrl_n
ieee5,128,2048,0.26112266112266114,0.09817047817047814,0.09999999999999987,0.34999999999999987,0.5499999999999998,2405,0.041871101871101865,0.0,0.19999999999999996,0.4,2405
ieee5,256,2048,0.1945945945945946,0.08571725571725566,0.09999999999999987,0.2999999999999998,0.5499999999999998,2405,0.030311850311850304,0.0,0.19999999999999996,0.4,2405
ieee5,512,2048,0.16632016632016633,0.07446985446985444,0.050000000000000044,0.25,0.4999999999999999,2405,0.023659043659043654,0.0,0.09999999999999998,0.4,2405
ieee5,1024,2048,0.13762993762993764,0.05846153846153843,0.0,0.25,0.5499999999999998,2405,0.01979209979209979,0.0,0.09999999999999998,0.4,2405
ieee5,2048,2048,0.0,0.0,0.0,0.0,0.0,2405,0.0,0.0,0.0,0.0,2405
ieee9,128,2048,0.367983367983368,0.1291309771309771,0.07999999999999985,0.48,1.04,2405,0.06280249480249481,0.0,0.24,0.24,2405
ieee9,256,2048,0.3808731808731809,0.1276340956340956,0.07999999999999985,0.47999999999999987,1.04,2405,0.06330145530145531,0.0,0.24,0.24,2405
ieee9,512,2048,0.4964656964656965,0.11233264033264032,0.07999999999999996,0.3999999999999999,0.9600000000000002,2405,0.06602910602910603,0.0,0.24,0.24,2405
ieee9,1024,2048,0.30353430353430355,0.08708523908523909,0.0,0.47999999999999987,0.9600000000000002,2405,0.04457380457380458,0.0,0.24,0.24,2405
ieee9,2048,2048,0.0,0.0,0.0,0.0,0.0,2405,0.0,0.0,0.0,0.0,2405
