system,particle_count,support_seed,J_adaptive,J_common,Delta_adaptive,ci95_low,ci95_high,Fixed_objective,adaptive_reference_objective,case_classification,bus_case_classification,bus_case_note,n_histories,n_xi1_groups,n_unique_optimal_design
ieee5,128,101,0.8979166666666667,0.8979166666666667,0.0,0.0,0.0,1.0,0.8979166666666667,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,15
ieee5,256,101,0.9017447916666667,0.9017447916666667,0.0,0.0,0.0,1.0,0.9017447916666667,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,14
ieee5,512,101,0.9104687499999999,0.9104687499999999,0.0,0.0,0.0,1.0,0.9104687499999999,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,10
ieee5,1024,101,0.9060156250000001,0.9060156250000001,0.0,0.0,0.0,1.0,0.9060156250000001,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,11
ieee5,2048,101,0.910546875,0.910546875,0.0,0.0,0.0,1.0,0.910546875,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,9
ieee5,128,202,0.8922395833333333,0.8922395833333333,0.0,0.0,0.0,1.0,0.8922395833333333,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,16
ieee5,256,202,0.899921875,0.899921875,0.0,0.0,0.0,1.0,0.899921875,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,13
ieee5,512,202,0.9037499999999999,0.9037499999999999,0.0,0.0,0.0,1.0,0.9037499999999999,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,16
ieee5,1024,202,0.9015104166666668,0.9015104166666668,0.0,0.0,0.0,1.0,0.9015104166666668,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,10
ieee5,2048,202,0.9075,0.9075,0.0,0.0,0.0,1.0,0.9075,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,11
