system,particle_count,support_seed,history_id,history_step,theta_id,selection_rule,ESS,normalized_ESS,max_weight,top1_mass,top5_mass,top10_mass,posterior_entropy,n_nonnegligible,weight_threshold,degeneracy_flag,u_cont,u_ctrl,u_quantile
ieee9,2048,101,-1,0,,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,1024,101,-1,0,,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,512,101,-1,0,,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.06,1.12,0.16
ieee9,256,101,-1,0,,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,128,101,-1,0,,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,2048,101,0,0,0,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,1024,101,0,0,0,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,512,101,0,0,0,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.06,1.12,0.16
ieee9,256,101,0,0,0,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,128,101,0,0,0,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,2048,101,0,1,0,"permute(master,101)[:2048]",91.95472405818602,0.04489976760653614,0.015412998973943031,0.015412998973943031,0.07667246107306314,0.1524457152080024,4.668994001844787,212,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,1024,101,0,1,0,"permute(master,101)[:1024]",43.56297802331361,0.0425419707258922,0.03039401189100524,0.03039401189100524,0.1504479841171503,0.2962031293310853,3.905328242388914,102,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,512,101,0,1,0,"permute(master,101)[:512]",22.944685360306963,0.04481383859434954,0.057028970754677895,0.057028970754677895,0.28114390295627173,0.5376017053909807,3.2675273107976306,58,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,256,101,0,1,0,"permute(master,101)[:256]",10.371594869219189,0.04051404245788746,0.13571467632375897,0.13571467632375897,0.6058799082981463,0.9148273241084991,2.4702610048246907,26,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,128,101,0,1,0,"permute(master,101)[:128]",6.964045344363579,0.05440660425284046,0.19857718272170852,0.19857718272170852,0.7995147901103452,0.9986046766717731,2.0523071870583856,17,1e-06,moderate_degeneracy,0.9,0.96,0.0
ieee9,2048,101,0,2,0,"permute(master,101)[:2048]",1.2254087652645438,0.000598344123664328,0.8981427606223074,0.8981427606223074,0.9999998685473258,0.9999999999999044,0.34932947541900305,4,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,1024,101,0,2,0,"permute(master,101)[:1024]",1.0112763913712721,0.000987574600948508,0.9943932416144795,0.9943932416144795,0.9999999999999168,0.9999999999999999,0.0346615498905012,2,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,512,101,0,2,0,"permute(master,101)[:512]",1.0002182521323275,0.001953551273695952,0.9998908858398932,0.9998908858398932,1.0,1.0,0.0011045869621896837,2,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,256,101,0,2,0,"permute(master,101)[:256]",1.000000000111351,0.0039062500004349646,0.9999999999443245,0.9999999999443245,1.0,1.0,1.3704184988980313e-09,1,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,128,101,0,2,0,"permute(master,101)[:128]",1.0259702949801097,0.008015392929532107,0.9871811913443979,0.9871811913443979,1.0,1.0,0.06942631820112834,3,1e-06,severe_degeneracy,1.1400000000000001,1.2,0.24
ieee9,2048,101,0,3,0,"permute(master,101)[:2048]",1.001285331628974,0.00048890885333446,0.9993578192047367,0.9993578192047367,0.9999999999999999,0.9999999999999999,0.0057649715147666605,4,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,1024,101,0,3,0,"permute(master,101)[:1024]",1.0002752140176643,0.0009768312636891253,0.999862414963284,0.999862414963284,1.0,1.0,0.0014299313067226624,3,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,512,101,0,3,0,"permute(master,101)[:512]",1.0000000000000027,0.001953125000000005,0.9999999999999987,0.9999999999999987,1.0,1.0,4.990106803103491e-14,1,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,256,101,0,3,0,"permute(master,101)[:256]",1.0000000000000027,0.00390625000000001,0.9999999999999987,0.9999999999999987,1.0,1.0,4.9901068031035244e-14,1,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,128,101,0,3,0,"permute(master,101)[:128]",1.0,0.0078125,1.0,1.0,1.0,1.0,1.8397395331528849e-22,1,1e-06,severe_degeneracy,1.1400000000000001,1.2,0.24
ieee9,2048,101,0,0,0,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,1024,101,0,0,0,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,512,101,0,0,0,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.06,1.12,0.16
ieee9,256,101,0,0,0,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,128,101,0,0,0,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,2048,101,0,1,0,"permute(master,101)[:2048]",344.2723636137509,0.1681017400457768,0.00411440188481124,0.00411440188481124,0.0205706530025812,0.0411301253429121,6.008600920885683,827,1e-06,stable_support,1.22,1.2,0.32
ieee9,1024,101,0,1,0,"permute(master,101)[:1024]",173.90911421553412,0.16983311935110754,0.008205398857460284,0.008205398857460284,0.040987985552862136,0.08183936686540032,5.3223802127831865,444,1e-06,stable_support,1.22,1.2,0.32
ieee9,512,101,0,1,0,"permute(master,101)[:512]",89.95960204193806,0.17570234773816026,0.015909860087595484,0.015909860087595484,0.07941215550345235,0.15768728280030905,4.674445241783927,240,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,256,101,0,1,0,"permute(master,101)[:256]",44.119055955223885,0.1723400623250933,0.03218975260398657,0.03218975260398657,0.1594911884951594,0.3120516721218262,3.9551883146524136,127,1e-06,stable_support,1.1400000000000001,1.2,0.24
ieee9,128,101,0,1,0,"permute(master,101)[:128]",23.516662148901833,0.18372392303829557,0.06460670967198484,0.06460670967198484,0.30407781179741517,0.5513765884407645,3.3260114878057254,65,1e-06,stable_support,0.9,0.96,0.0
ieee9,2048,101,0,2,0,"permute(master,101)[:2048]",28.744509309547084,0.014035404936302287,0.08599575554603324,0.08599575554603324,0.33197645187215813,0.5008230773029201,3.789998271863384,169,1e-06,severe_degeneracy,1.46,1.2,0.56
ieee9,1024,101,0,2,0,"permute(master,101)[:1024]",15.041313499447917,0.014688782714304606,0.15288870119953782,0.15288870119953782,0.48139248210060226,0.6529323600774902,3.1839742147695946,96,1e-06,severe_degeneracy,1.06,1.12,0.16
ieee9,512,101,0,2,0,"permute(master,101)[:512]",7.359143418819111,0.014373326989881077,0.23942577333284706,0.23942577333284706,0.7032801978501582,0.876353712957095,2.4189798451837965,52,1e-06,severe_degeneracy,1.06,1.12,0.16
ieee9,256,101,0,2,0,"permute(master,101)[:256]",6.334851433144503,0.024745513410720715,0.3267357520656295,0.3267357520656295,0.7202333683372839,0.944209992881357,2.2277127329155952,32,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,128,101,0,2,0,"permute(master,101)[:128]",3.1411143491582747,0.02453995585279902,0.5060107317161778,0.5060107317161778,0.9594222540123286,0.9999248563570285,1.4454709737927647,14,1e-06,severe_degeneracy,0.9,0.96,0.0
ieee9,2048,101,0,3,0,"permute(master,101)[:2048]",2.1493611226111238,0.0010494927356499628,0.5976424480894656,0.5976424480894656,0.9996814419659283,0.9999999487789551,0.9288939178310328,10,1e-06,severe_degeneracy,1.06,1.12,0.16
ieee9,1024,101,0,3,0,"permute(master,101)[:1024]",1.1595144159287716,0.001132338296805441,0.9257180833254506,0.9257180833254506,0.9999999754582369,0.9999999999999925,0.26644894755048043,4,1e-06,severe_degeneracy,1.06,1.12,0.16
ieee9,512,101,0,3,0,"permute(master,101)[:512]",1.0006098336041358,0.0019543160812580777,0.9996951770725785,0.9996951770725785,0.9999999999999921,1.0,0.0027901974169040502,3,1e-06,severe_degeneracy,1.06,1.12,0.16
ieee9,256,101,0,3,0,"permute(master,101)[:256]",1.0053697450822725,0.003927225566727627,0.9973240658928768,0.9973240658928768,0.9999999993193263,1.0,0.020358629279647496,3,1e-06,severe_degeneracy,0.9,0.96,0.0
