action_id,amplitude_pu,physical_bus,duration_s,train_parameter_signal_sd_hz,test_parameter_signal_sd_hz,heldout_linear_surrogate_r2,train_max_abs_delta_f_hz,test_max_abs_delta_f_hz,train_max_rocof_hz_s,test_max_rocof_hz_s,provisional_test_df_safe_rate,provisional_test_rocof_safe_rate,residual_sd_hz,effective_snr_sigma_0.0025,effective_snr_sigma_0.005,effective_snr_sigma_0.01,effective_snr_sigma_0.015
0,0.05,1,0.5,0.0012070632447916511,0.001103561424783484,0.5479001782115414,0.016499244113236073,0.015244336822171958,0.06363955645582788,0.06300659555594455,1.0,1.0,0.0007474517811031462,0.23312026830831192,0.05828006707707798,0.014570016769269495,0.006475563008564221
1,0.05,2,0.5,0.002753592065306595,0.0027510252669177095,0.5228551242072319,0.022411156701212655,0.02127138019923811,0.10566886321905833,0.10302047160443271,1.0,1.0,0.0018768404655039872,1.2131630819391102,0.30329077048477754,0.07582269262119438,0.033698974498308616
2,0.05,3,0.5,0.0019668709288052743,0.0019483181043413265,0.6113205900968472,0.020380727506081848,0.018958756822371275,0.09185242338230915,0.08543926241460514,1.0,1.0,0.0012226729386858612,0.6189730000926916,0.1547432500231729,0.03868581250579323,0.017193694447019216
3,0.05,4,0.5,0.0008651510170196642,0.0007828106865027507,0.9237267959361225,0.013994836841930104,0.012967484022069481,0.059182448881667814,0.05675152401164455,1.0,1.0,0.00022948419048181786,0.11975780516002547,0.02993945129000637,0.007484862822501592,0.0033266056988895966
4,0.05,5,0.5,0.0010129248116974587,0.0009684080705595253,0.8700559468978203,0.015272995792143008,0.014524398109244984,0.061038637008650934,0.058232042544717554,1.0,1.0,0.0003539731730661401,0.1641626678643731,0.04104066696609328,0.01026016674152332,0.004560074107343698
5,0.05,6,0.5,0.001772169833281723,0.0017559301913692255,0.6329953730309772,0.01920361859730343,0.017839141056464513,0.08162171584916655,0.07689674345646574,1.0,1.0,0.001066329526979477,0.5024937468790032,0.1256234367197508,0.0314058591799377,0.013958159635527868
6,0.05,7,0.5,0.0019799575930331097,0.0019700469170780455,0.5952873154004967,0.019523009494846793,0.018424917038488055,0.08243094290650851,0.07922633839680827,1.0,1.0,0.0012465608493304036,0.6272371312335142,0.15680928280837855,0.03920232070209464,0.0174232536453754
7,0.05,8,0.5,0.0021371577771117493,0.0021313096178455864,0.5714916089849181,0.020088021575401318,0.018912534708613888,0.08448641421007261,0.08090840344986376,1.0,1.0,0.0013814060525415893,0.7307909382830773,0.18269773457076932,0.04567443364269233,0.020299748285641038
8,0.05,9,0.5,0.0010820700396035594,0.001046323527808312,0.8223584664346095,0.015768183954914274,0.014784843153745342,0.05963958102522631,0.05691336949658727,1.0,1.0,0.000439617929817765,0.1873400912972238,0.04683502282430595,0.011708755706076487,0.005203891424922883
9,0.05,1,1.0,0.0017931670445478526,0.0016559159023501492,0.9686973468482409,0.02702433068206993,0.02447183337818079,0.04817577686166756,0.04490880330758553,1.0,1.0,0.00033041357042418645,0.5144716879443968,0.1286179219860992,0.0321544804965248,0.01429088022067769
10,0.05,2,1.0,0.001834462058867406,0.0016822261843970334,0.9261768818523541,0.02787251016298685,0.02615370157815826,0.07831048427156728,0.07513065628904418,1.0,1.0,0.0004762190398804101,0.5384401672678467,0.13461004181696168,0.03365251045424042,0.014956671312995745
11,0.05,3,1.0,0.0017958023966589349,0.0016447505022145644,0.9559480575278129,0.027572836780306056,0.025477555990298904,0.07285603261326047,0.06782889916858888,1.0,1.0,0.0003790447224632879,0.5159849996553559,0.12899624991383898,0.032249062478459746,0.014332916657093221
12,0.05,4,1.0,0.0017785770797626283,0.0016351872377347726,0.9745400356853676,0.027102911688565923,0.024593183341709093,0.0548881246915426,0.051187601092018045,1.0,1.0,0.00030398204934183986,0.5061338285851135,0.12653345714627837,0.03163336428656959,0.014059273016253152
