action_i,action_j,bus_i,bus_j,duration_i_s,duration_j_s,pearson_response_correlation,near_duplicate
0,1,1,2,0.5,0.5,0.5186500177979947,False
0,2,1,3,0.5,0.5,0.6592078717374192,False
0,3,1,4,0.5,0.5,0.9508183915173178,False
0,4,1,5,0.5,0.5,0.8712769860641879,False
0,5,1,6,0.5,0.5,0.692993032033946,False
0,6,1,7,0.5,0.5,0.6490446228520372,False
0,7,1,8,0.5,0.5,0.6183164132199637,False
0,8,1,9,0.5,0.5,0.8473450266746284,False
0,9,1,1,0.5,1.0,0.91296136999912,False
0,10,1,2,0.5,1.0,0.9490370574003187,False
0,11,1,3,0.5,1.0,0.9401819469052052,False
0,12,1,4,0.5,1.0,0.9226426346708111,False
0,13,1,5,0.5,1.0,0.9285893332096832,False
0,14,1,6,0.5,1.0,0.9386107577358554,False
0,15,1,7,0.5,1.0,0.9413654532562057,False
0,16,1,8,0.5,1.0,0.9432522883178565,False
0,17,1,9,0.5,1.0,0.9303781995799404,False
0,18,1,1,0.5,1.5,0.9367174844615753,False
0,19,1,2,0.5,1.5,0.9432013588071997,False
0,20,1,3,0.5,1.5,0.941408498422304,False
0,21,1,4,0.5,1.5,0.9383427714723869,False
0,22,1,5,0.5,1.5,0.9393619336536077,False
0,23,1,6,0.5,1.5,0.9411351214319252,False
0,24,1,7,0.5,1.5,0.9416640438274444,False
0,25,1,8,0.5,1.5,0.9420362434553328,False
0,26,1,9,0.5,1.5,0.9396790758391464,False
0,27,1,1,0.5,2.0,0.8243019794754307,False
0,28,1,2,0.5,2.0,0.8205669520677947,False
0,29,1,3,0.5,2.0,0.8214516588531657,False
0,30,1,4,0.5,2.0,0.8234364188774879,False
0,31,1,5,0.5,2.0,0.8228328616835222,False
0,32,1,6,0.5,2.0,0.8217027995951742,False
0,33,1,7,0.5,2.0,0.8214575793686912,False
0,34,1,8,0.5,2.0,0.8212814911311523,False
0,35,1,9,0.5,2.0,0.8227003887763416,False
0,36,1,1,0.5,2.5,0.6337725107025493,False
0,37,1,2,0.5,2.5,0.6226723225897253,False
0,38,1,3,0.5,2.5,0.6248074007449453,False
0,39,1,4,0.5,2.5,0.6310770985258233,False
0,40,1,5,0.5,2.5,0.6291774901848235,False
0,41,1,6,0.5,2.5,0.6256722276386594,False
0,42,1,7,0.5,2.5,0.6250836994016389,False
0,43,1,8,0.5,2.5,0.6246632496942675,False
0,44,1,9,0.5,2.5,0.628858705757252,False
0,45,1,1,0.5,3.0,0.47290388852017456,False
0,46,1,2,0.5,3.0,0.46426418156100757,False
0,47,1,3,0.5,3.0,0.465855938747794,False
0,48,1,4,0.5,3.0,0.47079453433718904,False
0,49,1,5,0.5,3.0,0.46930184096206895,False
0,50,1,6,0.5,3.0,0.46654919538081846,False
0,51,1,7,0.5,3.0,0.46611213769124615,False
0,52,1,8,0.5,3.0,0.46579998382888715,False
0,53,1,9,0.5,3.0,0.46906615022292397,False
1,2,2,3,0.5,0.5,0.9808832388321164,True
1,3,2,4,0.5,0.5,0.7576754048081171,False
1,4,2,5,0.5,0.5,0.8704833172859168,False
1,5,2,6,0.5,0.5,0.9736436844991814,False
1,6,2,7,0.5,0.5,0.9864552648206167,True
1,7,2,8,0.5,0.5,0.9925380651869977,True
1,8,2,9,0.5,0.5,0.8933252530604512,False
1,9,2,1,0.5,1.0,0.8163908945404352,False
1,10,2,2,0.5,1.0,0.748433752848543,False
1,11,2,3,0.5,1.0,0.7699088896120263,False
1,12,2,4,0.5,1.0,0.8023342231939713,False
1,13,2,5,0.5,1.0,0.7925269139911033,False
1,14,2,6,0.5,1.0,0.7733654256661882,False
1,15,2,7,0.5,1.0,0.7674580986841614,False
1,16,2,8,0.5,1.0,0.7631634766024468,False
1,17,2,9,0.5,1.0,0.7894384481680902,False
1,18,2,1,0.5,1.5,0.7246070274026677,False
1,19,2,2,0.5,1.5,0.7215364334143549,False
1,20,2,3,0.5,1.5,0.7240394225616998,False
1,21,2,4,0.5,1.5,0.7241873403346579,False
1,22,2,5,0.5,1.5,0.7240519230453715,False
1,23,2,6,0.5,1.5,0.7237381422574579,False
1,24,2,7,0.5,1.5,0.7230033519970198,False
1,25,2,8,0.5,1.5,0.7224762125250973,False
1,26,2,9,0.5,1.5,0.7236270621745184,False
1,27,2,1,0.5,2.0,0.44347843741926196,False
1,28,2,2,0.5,2.0,0.4348106345499514,False
1,29,2,3,0.5,2.0,0.43693881852571365,False
1,30,2,4,0.5,2.0,0.44144783998827875,False
1,31,2,5,0.5,2.0,0.44005774465367475,False
1,32,2,6,0.5,2.0,0.4374816138407339,False
1,33,2,7,0.5,2.0,0.436884074630997,False
1,34,2,8,0.5,2.0,0.43645677449665576,False
1,35,2,9,0.5,2.0,0.43972755172365213,False
1,36,2,1,0.5,2.5,0.19736586280114737,False
1,37,2,2,0.5,2.5,0.1800313156985555,False
1,38,2,3,0.5,2.5,0.18354906051335548,False
1,39,2,4,0.5,2.5,0.19314878287768614,False
1,40,2,5,0.5,2.5,0.19021350205407908,False
1,41,2,6,0.5,2.5,0.18482668933065494,False
1,42,2,7,0.5,2.5,0.18384759409001133,False
1,43,2,8,0.5,2.5,0.18314909681181055,False
1,44,2,9,0.5,2.5,0.1896750676377939,False
1,45,2,1,0.5,3.0,0.06239795668567215,False
1,46,2,2,0.5,3.0,0.04952511018548745,False
1,47,2,3,0.5,3.0,0.052093749968660404,False
1,48,2,4,0.5,3.0,0.059266452696179535,False
1,49,2,5,0.5,3.0,0.0570790184873617,False
1,50,2,6,0.5,3.0,0.05305899858074972,False
1,51,2,7,0.5,3.0,0.05234597230799786,False
1,52,2,8,0.5,3.0,0.05183717014722457,False
1,53,2,9,0.5,3.0,0.056688492509425634,False
2,3,3,4,0.5,0.5,0.8592406758254428,False
2,4,3,5,0.5,0.5,0.9431024250063457,False
2,5,3,6,0.5,0.5,0.9987562730415505,True
2,6,3,7,0.5,0.5,0.9986040343466779,True
2,7,3,8,0.5,0.5,0.9960612547228522,True
2,8,3,9,0.5,0.5,0.9565541700172815,False
2,9,3,1,0.5,1.0,0.9009992152804004,False
2,10,3,2,0.5,1.0,0.8509082285548691,False
2,11,3,3,0.5,1.0,0.8670567470016469,False
