action_id,amplitude_pu,physical_bus,duration_s,parameter,standardized_linear_sensitivity_hz
0,0.05,1,0.5,M_1,0.00022188981927866728
0,0.05,1,0.5,M_2,0.0004941408221871109
0,0.05,1,0.5,M_3,6.344397179842893e-05
0,0.05,1,0.5,K_1,0.0006641227290472056
0,0.05,1,0.5,K_2,0.0003197205142863113
0,0.05,1,0.5,K_3,0.0001943257737494537
1,0.05,2,0.5,M_1,0.0010729877306409842
1,0.05,2,0.5,M_2,0.001576086877756971
1,0.05,2,0.5,M_3,0.0002565046416520397
1,0.05,2,0.5,K_1,0.0006825062861889088
1,0.05,2,0.5,K_2,0.0002608360516440691
1,0.05,2,0.5,K_3,0.00016948487084257328
2,0.05,3,0.5,M_1,0.0008208102041378697
2,0.05,3,0.5,M_2,0.001096409738833866
2,0.05,3,0.5,M_3,0.00025428556496085114
2,0.05,3,0.5,K_1,0.0006808734229050781
2,0.05,3,0.5,K_2,0.0002642744086574244
2,0.05,3,0.5,K_3,0.0001745875985315247
3,0.05,4,0.5,M_1,0.00033377128545046704
3,0.05,4,0.5,M_2,0.00013034519135123051
3,0.05,4,0.5,M_3,6.870622859454934e-05
3,0.05,4,0.5,K_1,0.0006679948692455336
3,0.05,4,0.5,K_2,0.00029894637319998184
3,0.05,4,0.5,K_3,0.00018323404593093538
4,0.05,5,0.5,M_1,0.0004731845960904251
4,0.05,5,0.5,M_2,0.0003665100978061743
4,0.05,5,0.5,M_3,0.00011419803675106635
4,0.05,5,0.5,K_1,0.0006714337610547705
4,0.05,5,0.5,K_2,0.00028650460891530336
4,0.05,5,0.5,K_3,0.00017800738610417242
5,0.05,6,0.5,M_1,0.000759047734621197
5,0.05,6,0.5,M_2,0.0009634974027815986
5,0.05,6,0.5,M_3,0.0002156312467369807
5,0.05,6,0.5,K_1,0.000678405380193126
5,0.05,6,0.5,K_2,0.0002680045937086957
5,0.05,6,0.5,K_3,0.00017338061007266946
6,0.05,7,0.5,M_1,0.0008281206773622536
6,0.05,7,0.5,M_2,0.0010960796558142194
6,0.05,7,0.5,M_3,0.00021377930280046627
6,0.05,7,0.5,K_1,0.000678604916776315
6,0.05,7,0.5,K_2,0.0002658962116993481
6,0.05,7,0.5,K_3,0.00017117909245252554
7,0.05,8,0.5,M_1,0.0008786067865060574
7,0.05,8,0.5,M_2,0.0011923918303134847
7,0.05,8,0.5,M_3,0.000214174148418583
7,0.05,8,0.5,K_1,0.000678822277593454
7,0.05,8,0.5,K_2,0.00026481480875589525
7,0.05,8,0.5,K_3,0.00016981902749298126
8,0.05,9,0.5,M_1,0.0005068824336019659
8,0.05,9,0.5,M_2,0.00043210449427734
8,0.05,9,0.5,M_3,0.00011294113988568888
